impact_category,unit,basis,cluster,source,mean
Acidification,mol H+ eq,ha,1,crop_protection,0.065132392
Acidification,mol H+ eq,ha,1,fertilisers,10.851330478
Acidification,mol H+ eq,ha,1,machines,4.1832938883447595
Acidification,mol H+ eq,ha,1,sowing,0.602732
Acidification,mol H+ eq,ha,1,water,0.0
Acidification,mol H+ eq,ha,2,crop_protection,0.090610259
Acidification,mol H+ eq,ha,2,fertilisers,7.353507051999999
Acidification,mol H+ eq,ha,2,machines,10.21047925486065
Acidification,mol H+ eq,ha,2,sowing,0.6390840921970306
Acidification,mol H+ eq,ha,2,water,0.0
Acidification,mol H+ eq,ha,3,crop_protection,0.2350618447368421
Acidification,mol H+ eq,ha,3,fertilisers,8.30893737263158
Acidification,mol H+ eq,ha,3,machines,12.79678334187356
Acidification,mol H+ eq,ha,3,sowing,0.6210854628196555
Acidification,mol H+ eq,ha,3,water,0.0
Acidification,mol H+ eq,tonne,1,crop_protection,0.010682542
Acidification,mol H+ eq,tonne,1,fertilisers,1.6803739439999998
Acidification,mol H+ eq,tonne,1,machines,0.84472494
Acidification,mol H+ eq,tonne,1,sowing,0.103363312
Acidification,mol H+ eq,tonne,1,water,0.0
Acidification,mol H+ eq,tonne,2,crop_protection,0.014194874
Acidification,mol H+ eq,tonne,2,fertilisers,1.4815333980000005
Acidification,mol H+ eq,tonne,2,machines,0.91558566
Acidification,mol H+ eq,tonne,2,sowing,0.1065127202950389
Acidification,mol H+ eq,tonne,2,water,0.0
Acidification,mol H+ eq,tonne,3,crop_protection,0.0618874736842105
Acidification,mol H+ eq,tonne,3,fertilisers,2.6951617689473686
Acidification,mol H+ eq,tonne,3,machines,1.5900741210526312
Acidification,mol H+ eq,tonne,3,sowing,0.1869402033481139
Acidification,mol H+ eq,tonne,3,water,0.0
Climate change,kg CO2 eq,ha,1,ch4,17589.3
Climate change,kg CO2 eq,ha,1,crop_protection,17.1735392
Climate change,kg CO2 eq,ha,1,fertilisers,845.727395336
Climate change,kg CO2 eq,ha,1,machines,453.7338139079333
Climate change,kg CO2 eq,ha,1,n2o,149.33575721600002
Climate change,kg CO2 eq,ha,1,sowing,588.042224
Climate change,kg CO2 eq,ha,1,water,0.0
Climate change,kg CO2 eq,ha,2,ch4,17589.299999999996
Climate change,kg CO2 eq,ha,2,crop_protection,23.73059887600001
Climate change,kg CO2 eq,ha,2,fertilisers,552.981091034
Climate change,kg CO2 eq,ha,2,machines,1078.3900876244484
Climate change,kg CO2 eq,ha,2,n2o,90.71867845695188
Climate change,kg CO2 eq,ha,2,sowing,623.5083435068369
Climate change,kg CO2 eq,ha,2,water,0.0
Climate change,kg CO2 eq,ha,3,ch4,17589.299999999996
Climate change,kg CO2 eq,ha,3,crop_protection,61.50423746105264
Climate change,kg CO2 eq,ha,3,fertilisers,610.1340119736841
Climate change,kg CO2 eq,ha,3,machines,1403.3928826230112
Climate change,kg CO2 eq,ha,3,n2o,112.17390326936732
Climate change,kg CO2 eq,ha,3,sowing,605.9483764766754
Climate change,kg CO2 eq,ha,3,water,0.0
Climate change,kg CO2 eq,tonne,1,ch4,3114.4525374
