dmu_id,variety,area_TOTAL,operation,n_kg_ha_weight,type_fertiliser,N20(direct) synthetic,CO2 eq (direct emissions),N2O (indirect VOLATIL),CO2 eq (indirect emissions VOL),N2O (indirect Leach),CO2 eq (indirect emissions VLEACH),CO2 from urea
C1_2022,All,45.92,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C1_2022,All,45.92,topdressing,64.40,urea,0.3036,82.8828,0.03036,8.28828,0.2277,62.1621,12.88
C1_2022,All,45.92,topdressing,0.00,compound,0,0,0,0,0,0,
C1_2023,All,45.51,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C1_2023,All,45.51,topdressing,69.00,urea,0.3252857143,88.803,0.03252857143,8.8803,0.2439642857,66.60225,13.8
C1_2024,All,45.51,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C1_2024,All,45.51,topdressing,69.00,urea,0.3252857143,88.803,0.03252857143,8.8803,0.2439642857,66.60225,13.8
C2_2022,All,111.38,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C2_2022,All,111.38,topdressing,41.40,urea,0.1951714286,53.2818,0.01951714286,5.32818,0.1463785714,39.96135,8.28
C2_2023,All,115.21,basal_fertilisation,40.00,compound,0.1885714286,51.48,0.01885714286,5.148,0.1414285714,38.61,
C2_2023,All,115.21,topdressing,15.80,compound,0.07447270202,20.33104765,0.007447270202,2.033104765,0.05585452652,15.24828574,
C2_2023,All,115.21,topdressing,8.20,compound,0.03865624264,10.55315424,0.003865624264,1.055315424,0.02899218198,7.91486568,
C2_2023,All,115.21,topdressing,14.37,urea,0.06776197503,18.49901918,0.006776197503,1.849901918,0.05082148127,13.87426439,2.874750456
C2_2024,All,120.72,basal_fertilisation,41.75,compound,0.1968190855,53.73161034,0.01968190855,5.373161034,0.1476143141,40.29870775,
C2_2024,All,120.72,basal_fertilisation,18.25,compound,0.08603805737,23.48838966,0.008603805737,2.348838966,0.06452854303,17.61629225,
C2_2024,All,120.72,topdressing,6.49,compound,0.03061630219,8.358250497,0.003061630219,0.8358250497,0.02296222664,6.268687873,
C2_2024,All,120.72,topdressing,64.02,urea,0.3017892644,82.38846918,0.03017892644,8.238846918,0.2263419483,61.79135189,12.80318091
C3_2022,All,114.54,basal_fertilisation,40.00,compound,0.1885714286,51.48,0.01885714286,5.148,0.1414285714,38.61,
C3_2022,All,114.54,topdressing,55.20,urea,0.2602285714,71.0424,0.02602285714,7.10424,0.1951714286,53.2818,11.04
C3_2022,All,114.54,topdressing,0.00,compound,0,0,0,0,0,0,
C3_2023,All,112.23,basal_fertilisation,41.70,compound,0.1965860923,53.66800321,0.01965860923,5.366800321,0.1474395693,40.25100241,
C3_2023,All,112.23,basal_fertilisation,8.30,compound,0.03912819338,10.68199679,0.003912819338,1.068199679,0.02934614503,8.011497594,
C3_2023,All,112.23,topdressing,59.80,urea,0.2819142857,76.9626,0.02819142857,7.69626,0.2114357143,57.72195,11.96
C3_2024,All,112.23,basal_fertilisation,11.14,compound,0.05250696911,14.33440257,0.005250696911,1.433440257,0.03938022683,10.75080192,
C3_2024,All,112.23,basal_fertilisation,38.86,compound,0.1832073166,50.01559743,0.01832073166,5.001559743,0.1374054875,37.51169808,
C3_2024,All,112.23,topdressing,64.40,urea,0.3036,82.8828,0.03036,8.28828,0.2277,62.1621,12.88
C4_2022,Ronaldo,25.21,basal_fertilisation,39.00,compound,0.1838571429,50.193,0.01838571429,5.0193,0.1378928571,37.64475,
C4_2022,Ronaldo,25.21,topdressing,63.79,urea,0.3007458469,82.1036162,0.03007458469,8.21036162,0.2255593852,61.57771215,12.75891472
C4_2023,All,23.84,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C4_2023,All,23.84,topdressing,86.48,urea,0.4076914286,111.29976,0.04076914286,11.129976,0.3057685714,83.47482,17.296
C4_2024,All,23.87,basal_fertilisation,70.00,compound,0.33,90.09,0.033,9.009,0.2475,67.5675,
C4_2024,All,23.87,topdressing,46.00,urea,0.2168571429,59.202,0.02168571429,5.9202,0.1626428571,44.4015,9.2
C5_2022,Ronaldo,35.75,topdressing,27.37,compound,0.129032967,35.226,0.0129032967,3.5226,0.09677472527,26.4195,
C5_2022,All,35.75,basal_fertilisation,40.00,compound,0.1885714286,51.48,0.01885714286,5.148,0.1414285714,38.61,
C5_2022,PVL,35.75,topdressing,12.87,urea,0.06065934066,16.56,0.006065934066,1.656,0.04549450549,12.42,2.573426573
C5_2023,All,35.44,basal_fertilisation,30.69,compound,0.1447009029,39.5033465,0.01447009029,3.95033465,0.1085256772,29.62750988,
C5_2023,All,35.44,basal_fertilisation,19.64,compound,0.09258303773,25.2751693,0.009258303773,2.52751693,0.0694372783,18.95637698,
C5_2023,All,35.44,basal_fertilisation,14.05,compound,0.06624475975,18.08481941,0.006624475975,1.808481941,0.04968356982,13.56361456,
C5_2023,All,35.44,topdressing,9.67,urea,0.04560363754,12.44979305,0.004560363754,1.244979305,0.03420272815,9.337344786,1.934699774
C5_2023,All,35.44,topdressing,38.92,compound,0.1834900032,50.09277088,0.01834900032,5.009277088,0.1376175024,37.56957816,
C5_2024,All,35.44,topdressing,0.00,compound,0,0,0,0,0,0,
C5_2024,All,35.44,topdressing,53.58,compound,0.2525914286,68.95746,0.02525914286,6.895746,0.1894435714,51.718095,
C5_2024,All,35.44,basal_fertilisation,40.00,compound,0.1885714286,51.48,0.01885714286,5.148,0.1414285714,38.61,
C6_2022,All,73.11,basal_fertilisation,72.00,compound,0.3394285714,92.664,0.03394285714,9.2664,0.2545714286,69.498,
C6_2022,All,73.11,topdressing,0.00,compound,0,0,0,0,0,0,
C6_2022,All,73.11,topdressing,46.00,urea,0.2168571429,59.202,0.02168571429,5.9202,0.1626428571,44.4015,9.2
C6_2023,All,71.09,basal_fertilisation,54.00,compound,0.2545714286,69.498,0.02545714286,6.9498,0.1909285714,52.1235,
C6_2023,All,71.09,topdressing,80.50,urea,0.3795,103.6035,0.03795,10.36035,0.284625,77.702625,16.1
C6_2024,Diva PV,54.22,basal_fertilisation,54.00,compound,0.2545714286,69.498,0.02545714286,6.9498,0.1909285714,52.1235,
C6_2024,Diva PV,54.22,topdressing,73.60,urea,0.3469714286,94.7232,0.03469714286,9.47232,0.2602285714,71.0424,14.72
C7_2023,All,37.33,topdressing,11.78,compound,0.0555409284,15.16267345,0.00555409284,1.516267345,0.0416556963,11.37200509,
C7_2023,All,37.33,topdressing,55.45,urea,0.2614136466,71.36592553,0.02614136466,7.136592553,0.196060235,53.52444415,11.09027592
C7_2023,All,37.33,basal_fertilisation,45.00,compound,0.2121428571,57.915,0.02121428571,5.7915,0.1591071429,43.43625,
C7_2024,All,37.33,basal_fertilisation,31.34,compound,0.1477555394,40.33726226,0.01477555394,4.033726226,0.1108166545,30.25294669,
C7_2024,All,37.33,basal_fertilisation,31.34,compound,0.1477555394,40.33726226,0.01477555394,4.033726226,0.1108166545,30.25294669,
C7_2024,All,37.33,basal_fertilisation,22.50,compound,0.1060682714,28.95663809,0.01060682714,2.895663809,0.07955120355,21.71747857,
C7_2024,All,37.33,topdressing,55.23,urea,0.260367992,71.08046183,0.0260367992,7.108046183,0.195275994,53.31034637,11.04591481
C8_2022,All,58.32,basal_fertilisation,50.00,compound,0.2357142857,64.35,0.02357142857,6.435,0.1767857143,48.2625,
C8_2022,All,58.32,topdressing,69.00,urea,0.3252857143,88.803,0.03252857143,8.8803,0.2439642857,66.60225,13.8
C8_2022,Gládio,58.32,topdressing,0.00,compound,0,0,0,0,0,0,
C8_2023,All,58.34,topdressing,32.03,urea,0.1510194035,41.22829715,0.01510194035,4.122829715,0.1132645526,30.92122287,6.406883785
C8_2023,All,58.34,basal_fertilisation,44.77,compound,0.2110519614,57.61718546,0.02110519614,5.761718546,0.1582889711,43.2128891,
C8_2024,All,59.12,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C8_2024,All,59.12,topdressing,76.00,compound,0.3582857143,97.812,0.03582857143,9.7812,0.2687142857,73.359,
