dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,dose_kg/t,dose_unit,repetitions,covered_area
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.00,kg/ha,34.50,kg/t,1.00,15.48
C1_2022,Corimbo,1.50,3.48,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.00,kg/ha,44.50,kg/t,1.00,1.50
C1_2022,Sprint,18.30,4.44,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.00,kg/ha,34.93,kg/t,1.00,18.30
C1_2022,Leonardo,1.60,3.16,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.00,kg/ha,49.04,kg/t,1.00,1.60
C1_2022,JSendra,4.30,5.18,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.00,kg/ha,30.91,kg/t,1.00,4.30
C1_2022,PVL136IT,4.74,4.29,"2,022.00",5.00,24.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,150.00,kg/ha,34.93,kg/t,1.00,4.74
C1_2023,Leonardo,28.40,4.00,"2,023.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.00,kg/ha,55.00,kg/t,1.00,28.40
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.00,kg/ha,78.70,kg/t,1.00,4.01
C1_2023,PVL136IT,4.10,5.00,"2,023.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,120.00,kg/ha,24.00,kg/t,1.00,4.10
C1_2023,Telemaco,9.00,6.00,"2,023.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.00,kg/ha,36.67,kg/t,1.00,9.00
C1_2024,PVL136IT,6.31,6.00,"2,024.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.00,kg/ha,31.67,kg/t,1.00,6.31
C1_2024,Leonardo,14.21,2.00,"2,024.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.00,kg/ha,95.00,kg/t,1.00,14.21
C1_2024,Ronaldo,8.42,1.46,"2,024.00",5.00,25.00,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.00,kg/ha,130.14,kg/t,1.00,8.42
