dmu_id,farmer_id,year,area_ha,production_t,operation_rows_n,products,herbicide_kg_total,fungicide_kg_total,pesticide_kg_total,herbicide_kg_ha,fungicide_kg_ha,pesticide_kg_ha,herbicide_kg_tonne,fungicide_kg_tonne,pesticide_kg_tonne
C1_2022,C1,2022,45.92,203.6418,25,Gulliver; Loyant; Nominee; Profistar; Splash; Teppeki; Verresta,11.055,24.2962,4.5696,0.2407447735,0.5290984321,0.0995121951,0.0542864972,0.1193085113,0.0224394009
C1_2023,C1,2023,45.51,196.7616,21,Afinto; Aura; Avanza; Baza; Dash HC; Herbinexa; Loyant; Nominee; Verresta,44.0204,0.0,3.408,0.9672687321,0.0,0.0748846407,0.2237245479,0.0,0.0173204528
C1_2024,C1,2024,45.51,227.7032,29,Baza; Dash HC; Flint; Herbinexa; Loyant; Verresta,57.8389,3.5525,0.0,1.2709052955,0.0780597671,0.0,0.2540100447,0.0156014496,0.0
C2_2022,C2,2022,111.38,777.8801,14,Aura; Benta; Dash HC; Loyant; Montana; Teppeki,162.9596,0.0,2.4,1.4630957084,0.0,0.0215478542,0.2094919256,0.0,0.0030853084
C2_2023,C2,2023,115.21,1003.1592,14,Afinto; Aura; Avanza; Biopower; Dash HC; Loyant; Nominee,59.4714,0.0,8.0988,0.5161999826,0.0,0.0702959813,0.0592841096,0.0,0.0080732948
C2_2024,C2,2024,120.72,892.1208,18,Aura; Dash HC; Loyant; Verresta,45.0948,0.0,0.0,0.3735487078,0.0,0.0,0.050547863,0.0,0.0
C3_2022,C3,2022,114.54,496.2327,28,Aura; Baza; Dash HC; Gulliver; Herbinexa; Loyant; Nominee,164.822,0.0,0.0,1.4389907456,0.0,0.0,0.3321465917,0.0,0.0
C3_2023,C3,2023,112.23,639.8522,18,Afinto; Aura; Biopower; Dash HC; Loyant; Nominee,46.152,0.0,4.6752,0.4112269447,0.0,0.0416573109,0.0721291573,0.0,0.0073066874
C3_2024,C3,2024,112.23,723.4214,19,Aura; Dash HC; Flint; Loyant; Verresta,50.946,5.0,0.0,0.453942796,0.0445513677,0.0,0.0704236839,0.0069116009,0.0
C4_2022,C4,2022,25.21,91.2602,9,Aura; Dash HC; Herbinexa; Kaos; Loyant; Verresta,68.7718,0.0,0.0,2.7279571599,0.0,0.0,0.7535793259,0.0,0.0
C4_2023,C4,2023,23.84,107.3744,8,Beyond; Dash HC; Dipel DF; Loyant; Verresta,6.1616,0.0,3.1104,0.2584563758,0.0,0.1304697987,0.0573842555,0.0,0.0289677987
C4_2024,C4,2024,23.87,197.4649,9,Dash HC; Loyant; Verresta,17.2348,0.0,0.0,0.7220276498,0.0,0.0,0.0872803217,0.0,0.0
C5_2022,C5,2022,35.75,214.045,7,Aura; Avanza; Command; Dash HC; Loyant; Verresta,25.125,0.0,0.0,0.7027972028,0.0,0.0,0.117381859,0.0,0.0
C5_2023,C5,2023,35.44,217.4936,13,Aura; Benta; Beyond; Dash HC; Herbinexa; Loyant; Verresta,44.2472,0.0,0.0,1.248510158,0.0,0.0,0.2034413886,0.0,0.0
C5_2024,C5,2024,35.44,290.5825,14,Aura; Dash HC; Herbinexa; Kaos; Loyant; Verresta,70.4596,0.0,0.0,1.9881376975,0.0,0.0,0.2424770934,0.0,0.0
C6_2022,C6,2022,73.11,157.1865,8,Aura; Baza; Command; Dash HC; Gulliver; Herbinexa; Loyant; Teppeki,72.9097,0.0,2.496,0.9972602927,0.0,0.0341403365,0.4638419966,0.0,0.0158792263
C6_2023,C6,2023,71.09,204.7392,14,Aura; Avanza; Dash HC; Dipel DF; Loyant; Montana; Teppeki,122.2748,0.0,39.396,1.72,0.0,0.5541707694,0.5972222222,0.0,0.1924204061
C6_2024,C6,2024,54.22,393.095,7,Dash HC; Dipel DF; Kaos; Loyant; Verresta,48.487,0.0,29.2788,0.8942641092,0.0,0.54,0.1233467737,0.0,0.0744827586
C7_2023,C7,2023,37.33,248.2616,16,Aura; Baza; Dash HC; Loyant; Montana; Nominee; Teppeki,91.0852,0.0,4.4796,2.44,0.0,0.12,0.3668920204,0.0,0.0180438699
C7_2024,C7,2024,37.35,157.786,10,Aura; Baza; Dash HC; Loyant; Montana; Nominee; Teppeki,64.069,0.0,2.694,1.7153681392,0.0,0.0721285141,0.4060499664,0.0,0.0170737581
C8_2022,C8,2022,58.32,323.9088,26,Aura; Avanza; Baza; Benta; Dash HC; Herbinexa; Kaos; Loyant; Oristar; Teppeki; Verresta,174.1392,0.0,6.9984,2.9859259259,0.0,0.12,0.5376179962,0.0,0.0216060817
C8_2023,C8,2023,58.04,334.3764,18,Aura; Avanza; Dash HC; Dipel DF; Herbinexa; Kaos; Loyant; Teppeki; Verresta,147.608,0.0,27.3768,2.5432115782,0.0,0.4716884907,0.4414426377,0.0,0.0818741993
C8_2024,C8,2024,59.12,233.6194,12,Agixa; Amistar Top; Aura; Dash HC; Loyant; Verresta,35.282,9.1512,0.0,0.5967861976,0.1547902571,0.0,0.1510234167,0.0391714044,0.0
D1_2022,D1,2022,12.25,16.66,9,Activus Caps; Amistar Top; Gulliver; Herbinexa; Oristar; Permit; Profistar; Splash; Teppeki,26.47,11.6375,0.504,2.1608163265,0.95,0.0411428571,1.5888355342,0.6985294118,0.0302521008
D1_2023,D1,2023,17.99,88.151,8,Afinto; Avanza; Biopower; Gulliver; Herbinexa; Loyant; Nominee; Permit,19.6091,0.0,2.1588,1.09,0.0,0.12,0.2224489796,0.0,0.0244897959
D1_2024,D1,2024,24.8,137.368,11,Agixa; Amistar Top; Aura; Dash HC; Loyant; Verresta,23.798,9.1512,0.0,0.9595967742,0.369,0.0,0.1732426766,0.0666181352,0.0
D2_2022,D2,2022,18.21,22.3983,8,Activus Caps; Beyond; Biopower; Nominee; Oristar; Permit; Profistar; Splash,34.2348,10.7439,0.0,1.88,0.59,0.0,1.5284552846,0.4796747967,0.0
D2_2023,D2,2023,18.22,88.1848,10,Afinto; Amistar Top; Aura; Avanza; Beyond; Biopower; Dash HC; Loyant; Nominee,16.0336,6.5592,2.1864,0.88,0.36,0.12,0.1818181818,0.0743801653,0.0247933884
D2_2024,D2,2024,18.22,123.3494,9,Aura; Dash HC; Loyant; Verresta,22.2284,0.0,0.0,1.22,0.0,0.0,0.1802067947,0.0,0.0
NT1_2023,NT1,2023,14.92,96.8308,3,Gulliver; Loyant; Roundup Ultramax,1.7904,0.0,0.0,0.12,0.0,0.0,0.0184899846,0.0,0.0
NT1_2024,NT1,2024,37.9,269.469,5,Aura; Baza; Dash HC; Loyant; Satelite,51.165,0.0,0.0,1.35,0.0,0.0,0.1898734177,0.0,0.0
NT2_2022,NT2,2022,20.42,83.1094,6,Aura; Beyond; Clincher Plus; Command; Dash HC,21.441,0.0,0.0,1.05,0.0,0.0,0.257985258,0.0,0.0
NT2_2023,NT2,2023,20.19,147.5889,9,Biopower; Centium; Dash HC; Loyant; Touchdown; Verresta,58.1472,0.0,0.0,2.88,0.0,0.0,0.3939808482,0.0,0.0
NT2_2024,NT2,2024,20.19,96.3063,6,Dash HC; Loyant; Verresta,17.7672,0.0,0.0,0.88,0.0,0.0,0.1844863732,0.0,0.0
