dmu_id,farmer_id,year,basis,impact_category,impact_unit,herbicide_amount_kg_ha,fungicide_amount_kg_ha,pesticide_amount_kg_ha,herbicide_amount_kg_tonne,fungicide_amount_kg_tonne,pesticide_amount_kg_tonne,herbicide_factor_per_unit,fungicide_factor_per_unit,pesticide_factor_per_unit,herbicide_factor_unit,fungicide_factor_unit,pesticide_factor_unit,herbicide_factor_group,fungicide_factor_group,pesticide_factor_group,herbicide_characterisation_sheets,fungicide_characterisation_sheets,pesticide_characterisation_sheets,herbicide_single_score_file,fungicide_single_score_file,pesticide_single_score_file,herbicide_impact,fungicide_impact,pesticide_impact,crop_protection_total_impact
C1_2022,C1,2022,ha,Acidification,Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.17838808,0.13245375999999998,0.14868711999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.042945997914699885,0.07008107674174968,0.014796181694297111,0.12782325635074668
C1_2022,C1,2022,ha,Climate change,Pt,0.2407447735,0.5290984321,0.0995121951,,,,24201.564,16691.588519999998,18147.4914,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,5826.400043525754,8831.493315190357,1805.8967047723722,16463.790063488483
C1_2022,C1,2022,ha,Climate change - Biogenic,Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,Climate change - Fossil,Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,Climate change - Land use and LU change,Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater",Pt,0.2407447735,0.5290984321,0.0995121951,,,,1460507.7396,3825051.6733000004,529018443.3026,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,351609.60496499896,2023828.8430445115,52643786.54142663,55019224.98943614
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - inorganics",Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - metals",Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - organics",Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,ha,"Eutrophication, freshwater",Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0001366398,0.000103618,0.000118759,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,3.2895317702085305e-05,5.4824121337337796e-05,1.1817968777880901e-05,9.953740781730401e-05
