dmu_id,farmer_id,year,basis,impact_category,impact_unit,n_amount_kg_ha,p_amount_kg_ha,k_amount_kg_ha,n_amount_kg_tonne,p_amount_kg_tonne,k_amount_kg_tonne,n_factor_per_unit,p_factor_per_unit,k_factor_per_unit,n_factor_unit,p_factor_unit,k_factor_unit,n_characterisation_sheet,p_characterisation_sheet,k_characterisation_sheet,n_impact,p_impact,k_impact,fertilisation_total_impact
C1_2022,C1,2022,ha,Acidification,mol H+ eq,141.2,30.0,0.0,,,,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,8.136085199999998,0.86916,0.0,9.0052452
C1_2022,C1,2022,ha,Climate change,kg CO2 eq,141.2,30.0,0.0,,,,3.754282,2.846359,2.817321,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,530.1046183999999,85.39077,0.0,615.4953883999999
C1_2022,C1,2022,ha,Climate change - Biogenic,kg CO2 eq,141.2,30.0,0.0,,,,0.001325,0.002609,0.002402,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.18708999999999998,0.07827,0.0,0.26536
C1_2022,C1,2022,ha,Climate change - Fossil,kg CO2 eq,141.2,30.0,0.0,,,,3.752439,2.829413,2.809194,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,529.8443867999999,84.88239,0.0,614.7267767999999
C1_2022,C1,2022,ha,Climate change - Land use and LU change,kg CO2 eq,141.2,30.0,0.0,,,,0.000518,0.014337,0.005725,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0731416,0.43011000000000005,0.0,0.5032516
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater",CTUe,141.2,30.0,0.0,,,,24.51813,397.7709,2018.182,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,3461.9599559999997,11933.127,0.0,15395.086956
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - inorganics",CTUe,141.2,30.0,0.0,,,,7.823272,76.92257,397.7561,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1104.6460064,2307.6771,0.0,3412.3231064
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - metals",CTUe,141.2,30.0,0.0,,,,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2332.724252,9603.813,0.0,11936.537252
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - organics",CTUe,141.2,30.0,0.0,,,,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,24.588991599999996,21.63756,0.0,46.22655159999999
C1_2022,C1,2022,ha,"Eutrophication, freshwater",kg P eq,141.2,30.0,0.0,,,,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.031346399999999996,0.028560000000000002,0.0,0.0599064
C1_2022,C1,2022,ha,"Eutrophication, marine",kg N eq,141.2,30.0,0.0,,,,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.3779924,0.08301,0.0,0.46100240000000003
C1_2022,C1,2022,ha,"Eutrophication, terrestrial",mol N eq,141.2,30.0,0.0,,,,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,34.08412679999999,1.5651300000000001,0.0,35.649256799999996
C1_2022,C1,2022,ha,"Human toxicity, cancer",CTUh,141.2,30.0,0.0,,,,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,7.540079999999999e-08,7.62e-08,0.0,1.516008e-07
C1_2022,C1,2022,ha,"Human toxicity, cancer - inorganics",CTUh,141.2,30.0,0.0,,,,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0,1.863e-16,0.0,1.863e-16
C1_2022,C1,2022,ha,"Human toxicity, cancer - metals",CTUh,141.2,30.0,0.0,,,,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,4.9419999999999995e-08,6.39e-08,0.0,1.1331999999999999e-07
C1_2022,C1,2022,ha,"Human toxicity, cancer - organics",CTUh,141.2,30.0,0.0,,,,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.59808e-08,1.215e-08,0.0,3.81308e-08
C1_2022,C1,2022,ha,"Human toxicity, non-cancer",CTUh,141.2,30.0,0.0,,,,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.824e-06,1.947e-06,0.0,4.7710000000000006e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - inorganics",CTUh,141.2,30.0,0.0,,,,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.42864e-07,4.35e-07,0.0,6.77864e-07
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - metals",CTUh,141.2,30.0,0.0,,,,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.44276e-06,1.467e-06,0.0,3.90976e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - organics",CTUh,141.2,30.0,0.0,,,,1.35e-09,1.78e-09,2.01e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.9062e-07,5.34e-08,0.0,2.4402e-07
C1_2022,C1,2022,ha,Ionising radiation,kBq U-235 eq,141.2,30.0,0.0,,,,0.099841,0.337545,0.245573,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,14.0975492,10.126349999999999,0.0,24.223899199999998
C1_2022,C1,2022,ha,Land use,Pt,141.2,30.0,0.0,,,,2.291069,30.93982,25.134,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,323.49894279999995,928.1946,0.0,1251.6935428
C1_2022,C1,2022,ha,Ozone depletion,kg CFC11 eq,141.2,30.0,0.0,,,,3.58e-07,3.47e-07,3.94e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.0549599999999995e-05,1.041e-05,0.0,6.09596e-05
C1_2022,C1,2022,ha,Particulate matter,disease inc.,141.2,30.0,0.0,,,,3.99e-07,2.34e-07,2.27e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.63388e-05,7.0200000000000006e-06,0.0,6.33588e-05
C1_2022,C1,2022,ha,Photochemical ozone formation,kg NMVOC eq,141.2,30.0,0.0,,,,0.003983,0.00811,0.007996,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.5623996,0.24329999999999996,0.0,0.8056996
C1_2022,C1,2022,ha,"Resource use, fossils",MJ,141.2,30.0,0.0,,,,46.52414,42.89925,42.33106,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,6569.208568,1286.9775,0.0,7856.186068
C1_2022,C1,2022,ha,"Resource use, minerals and metals",kg Sb eq,141.2,30.0,0.0,,,,2.71e-05,5.39e-05,5.15e-05,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.00382652,0.0016170000000000002,0.0,0.00544352
C1_2022,C1,2022,ha,Water use,m3 depriv.,141.2,30.0,0.0,,,,0.21489,1.587446,1.186461,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,30.342467999999997,47.62338,0.0,77.965848
C1_2023,C1,2023,ha,Acidification,mol H+ eq,129.0,30.0,0.0,,,,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,7.433109,0.86916,0.0,8.302269
C1_2023,C1,2023,ha,Climate change,kg CO2 eq,129.0,30.0,0.0,,,,3.754282,2.846359,2.817321,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,484.302378,85.39077,0.0,569.693148
C1_2023,C1,2023,ha,Climate change - Biogenic,kg CO2 eq,129.0,30.0,0.0,,,,0.001325,0.002609,0.002402,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.170925,0.07827,0.0,0.249195
C1_2023,C1,2023,ha,Climate change - Fossil,kg CO2 eq,129.0,30.0,0.0,,,,3.752439,2.829413,2.809194,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,484.06463099999996,84.88239,0.0,568.947021
C1_2023,C1,2023,ha,Climate change - Land use and LU change,kg CO2 eq,129.0,30.0,0.0,,,,0.000518,0.014337,0.005725,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.066822,0.43011000000000005,0.0,0.49693200000000004
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater",CTUe,129.0,30.0,0.0,,,,24.51813,397.7709,2018.182,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,3162.83877,11933.127,0.0,15095.96577
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - inorganics",CTUe,129.0,30.0,0.0,,,,7.823272,76.92257,397.7561,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1009.202088,2307.6771,0.0,3316.879188
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - metals",CTUe,129.0,30.0,0.0,,,,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2131.17159,9603.813,0.0,11734.98459
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - organics",CTUe,129.0,30.0,0.0,,,,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,22.464447,21.63756,0.0,44.102007
C1_2023,C1,2023,ha,"Eutrophication, freshwater",kg P eq,129.0,30.0,0.0,,,,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.028638,0.028560000000000002,0.0,0.057198
C1_2023,C1,2023,ha,"Eutrophication, marine",kg N eq,129.0,30.0,0.0,,,,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.345333,0.08301,0.0,0.42834300000000003
C1_2023,C1,2023,ha,"Eutrophication, terrestrial",mol N eq,129.0,30.0,0.0,,,,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,31.139181,1.5651300000000001,0.0,32.704311000000004
C1_2023,C1,2023,ha,"Human toxicity, cancer",CTUh,129.0,30.0,0.0,,,,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,6.8886e-08,7.62e-08,0.0,1.4508599999999998e-07
C1_2023,C1,2023,ha,"Human toxicity, cancer - inorganics",CTUh,129.0,30.0,0.0,,,,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0,1.863e-16,0.0,1.863e-16
C1_2023,C1,2023,ha,"Human toxicity, cancer - metals",CTUh,129.0,30.0,0.0,,,,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,4.515e-08,6.39e-08,0.0,1.0904999999999999e-07
C1_2023,C1,2023,ha,"Human toxicity, cancer - organics",CTUh,129.0,30.0,0.0,,,,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.3736e-08,1.215e-08,0.0,3.5886e-08
C1_2023,C1,2023,ha,"Human toxicity, non-cancer",CTUh,129.0,30.0,0.0,,,,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.58e-06,1.947e-06,0.0,4.527e-06
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - inorganics",CTUh,129.0,30.0,0.0,,,,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.2188e-07,4.35e-07,0.0,6.5688e-07
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - metals",CTUh,129.0,30.0,0.0,,,,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.2316999999999997e-06,1.467e-06,0.0,3.6987e-06
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - organics",CTUh,129.0,30.0,0.0,,,,1.35e-09,1.78e-09,2.01e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.7415e-07,5.34e-08,0.0,2.2755e-07
C1_2023,C1,2023,ha,Ionising radiation,kBq U-235 eq,129.0,30.0,0.0,,,,0.099841,0.337545,0.245573,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,12.879489,10.126349999999999,0.0,23.005838999999998
C1_2023,C1,2023,ha,Land use,Pt,129.0,30.0,0.0,,,,2.291069,30.93982,25.134,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,295.54790099999997,928.1946,0.0,1223.742501
C1_2023,C1,2023,ha,Ozone depletion,kg CFC11 eq,129.0,30.0,0.0,,,,3.58e-07,3.47e-07,3.94e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,4.6182e-05,1.041e-05,0.0,5.6592e-05
C1_2023,C1,2023,ha,Particulate matter,disease inc.,129.0,30.0,0.0,,,,3.99e-07,2.34e-07,2.27e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.1471e-05,7.0200000000000006e-06,0.0,5.8491000000000006e-05
C1_2023,C1,2023,ha,Photochemical ozone formation,kg NMVOC eq,129.0,30.0,0.0,,,,0.003983,0.00811,0.007996,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.513807,0.24329999999999996,0.0,0.757107
C1_2023,C1,2023,ha,"Resource use, fossils",MJ,129.0,30.0,0.0,,,,46.52414,42.89925,42.33106,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,6001.614060000001,1286.9775,0.0,7288.591560000001
C1_2023,C1,2023,ha,"Resource use, minerals and metals",kg Sb eq,129.0,30.0,0.0,,,,2.71e-05,5.39e-05,5.15e-05,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0034959,0.0016170000000000002,0.0,0.0051129
C1_2023,C1,2023,ha,Water use,m3 depriv.,129.0,30.0,0.0,,,,0.21489,1.587446,1.186461,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,27.72081,47.62338,0.0,75.34419
C1_2024,C1,2024,ha,Acidification,mol H+ eq,129.0,30.0,0.0,,,,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,7.433109,0.86916,0.0,8.302269
C1_2024,C1,2024,ha,Climate change,kg CO2 eq,129.0,30.0,0.0,,,,3.754282,2.846359,2.817321,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,484.302378,85.39077,0.0,569.693148
C1_2024,C1,2024,ha,Climate change - Biogenic,kg CO2 eq,129.0,30.0,0.0,,,,0.001325,0.002609,0.002402,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.170925,0.07827,0.0,0.249195
C1_2024,C1,2024,ha,Climate change - Fossil,kg CO2 eq,129.0,30.0,0.0,,,,3.752439,2.829413,2.809194,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,484.06463099999996,84.88239,0.0,568.947021
C1_2024,C1,2024,ha,Climate change - Land use and LU change,kg CO2 eq,129.0,30.0,0.0,,,,0.000518,0.014337,0.005725,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.066822,0.43011000000000005,0.0,0.49693200000000004
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater",CTUe,129.0,30.0,0.0,,,,24.51813,397.7709,2018.182,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,3162.83877,11933.127,0.0,15095.96577
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - inorganics",CTUe,129.0,30.0,0.0,,,,7.823272,76.92257,397.7561,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1009.202088,2307.6771,0.0,3316.879188
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - metals",CTUe,129.0,30.0,0.0,,,,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2131.17159,9603.813,0.0,11734.98459
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - organics",CTUe,129.0,30.0,0.0,,,,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,22.464447,21.63756,0.0,44.102007
C1_2024,C1,2024,ha,"Eutrophication, freshwater",kg P eq,129.0,30.0,0.0,,,,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.028638,0.028560000000000002,0.0,0.057198
C1_2024,C1,2024,ha,"Eutrophication, marine",kg N eq,129.0,30.0,0.0,,,,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.345333,0.08301,0.0,0.42834300000000003
C1_2024,C1,2024,ha,"Eutrophication, terrestrial",mol N eq,129.0,30.0,0.0,,,,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,31.139181,1.5651300000000001,0.0,32.704311000000004
C1_2024,C1,2024,ha,"Human toxicity, cancer",CTUh,129.0,30.0,0.0,,,,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,6.8886e-08,7.62e-08,0.0,1.4508599999999998e-07
C1_2024,C1,2024,ha,"Human toxicity, cancer - inorganics",CTUh,129.0,30.0,0.0,,,,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0,1.863e-16,0.0,1.863e-16
C1_2024,C1,2024,ha,"Human toxicity, cancer - metals",CTUh,129.0,30.0,0.0,,,,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,4.515e-08,6.39e-08,0.0,1.0904999999999999e-07
C1_2024,C1,2024,ha,"Human toxicity, cancer - organics",CTUh,129.0,30.0,0.0,,,,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.3736e-08,1.215e-08,0.0,3.5886e-08
C1_2024,C1,2024,ha,"Human toxicity, non-cancer",CTUh,129.0,30.0,0.0,,,,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.58e-06,1.947e-06,0.0,4.527e-06
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - inorganics",CTUh,129.0,30.0,0.0,,,,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.2188e-07,4.35e-07,0.0,6.5688e-07
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - metals",CTUh,129.0,30.0,0.0,,,,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.2316999999999997e-06,1.467e-06,0.0,3.6987e-06
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - organics",CTUh,129.0,30.0,0.0,,,,1.35e-09,1.78e-09,2.01e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.7415e-07,5.34e-08,0.0,2.2755e-07
C1_2024,C1,2024,ha,Ionising radiation,kBq U-235 eq,129.0,30.0,0.0,,,,0.099841,0.337545,0.245573,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,12.879489,10.126349999999999,0.0,23.005838999999998
C1_2024,C1,2024,ha,Land use,Pt,129.0,30.0,0.0,,,,2.291069,30.93982,25.134,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,295.54790099999997,928.1946,0.0,1223.742501
C1_2024,C1,2024,ha,Ozone depletion,kg CFC11 eq,129.0,30.0,0.0,,,,3.58e-07,3.47e-07,3.94e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,4.6182e-05,1.041e-05,0.0,5.6592e-05
C1_2024,C1,2024,ha,Particulate matter,disease inc.,129.0,30.0,0.0,,,,3.99e-07,2.34e-07,2.27e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.1471e-05,7.0200000000000006e-06,0.0,5.8491000000000006e-05
C1_2024,C1,2024,ha,Photochemical ozone formation,kg NMVOC eq,129.0,30.0,0.0,,,,0.003983,0.00811,0.007996,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.513807,0.24329999999999996,0.0,0.757107
C1_2024,C1,2024,ha,"Resource use, fossils",MJ,129.0,30.0,0.0,,,,46.52414,42.89925,42.33106,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,6001.614060000001,1286.9775,0.0,7288.591560000001
C1_2024,C1,2024,ha,"Resource use, minerals and metals",kg Sb eq,129.0,30.0,0.0,,,,2.71e-05,5.39e-05,5.15e-05,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0034959,0.0016170000000000002,0.0,0.0051129
C1_2024,C1,2024,ha,Water use,m3 depriv.,129.0,30.0,0.0,,,,0.21489,1.587446,1.186461,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,27.72081,47.62338,0.0,75.34419
C2_2022,C2,2022,ha,Acidification,mol H+ eq,101.4,60.0,0.0,,,,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.8427694,1.73832,0.0,7.5810894
C2_2022,C2,2022,ha,Climate change,kg CO2 eq,101.4,60.0,0.0,,,,3.754282,2.846359,2.817321,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,380.6841948,170.78154,0.0,551.4657348000001
C2_2022,C2,2022,ha,Climate change - Biogenic,kg CO2 eq,101.4,60.0,0.0,,,,0.001325,0.002609,0.002402,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.134355,0.15654,0.0,0.290895
