dmu_id,farmer_id,year,basis,impact_category,impact_unit,n_amount_kg_ha,p_amount_kg_ha,k_amount_kg_ha,n_amount_kg_tonne,p_amount_kg_tonne,k_amount_kg_tonne,n_factor_per_unit,p_factor_per_unit,k_factor_per_unit,n_factor_unit,p_factor_unit,k_factor_unit,n_characterisation_sheet,p_characterisation_sheet,k_characterisation_sheet,n_single_score_file,p_single_score_file,k_single_score_file,n_impact,p_impact,k_impact,fertilisation_total_impact
C1_2022,C1,2022,tonne,Acidification,mol H+ eq,,,,28.08,6.77,0.0,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.6179976799999998,0.19614044,0.0,1.8141381199999997
C1_2022,C1,2022,tonne,Climate change,kg CO2 eq,,,,28.08,6.77,0.0,3.754282,2.846359,2.817321,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,105.42023855999999,19.269850429999998,0.0,124.69008898999999
C1_2022,C1,2022,tonne,Climate change - Biogenic,kg CO2 eq,,,,28.08,6.77,0.0,0.001325,0.002609,0.002402,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.037205999999999996,0.01766293,0.0,0.054868929999999996
C1_2022,C1,2022,tonne,Climate change - Fossil,kg CO2 eq,,,,28.08,6.77,0.0,3.752439,2.829413,2.809194,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,105.36848711999998,19.15512601,0.0,124.52361312999999
C1_2022,C1,2022,tonne,Climate change - Land use and LU change,kg CO2 eq,,,,28.08,6.77,0.0,0.000518,0.014337,0.005725,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.01454544,0.09706149,0.0,0.11160693
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater",CTUe,,,,28.08,6.77,0.0,24.51813,397.7709,2018.182,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,688.4690903999999,2692.9089929999996,0.0,3381.3780833999995
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,,,28.08,6.77,0.0,7.823272,76.92257,397.7561,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,219.67747776,520.7657988999999,0.0,740.4432766599999
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - metals",CTUe,,,,28.08,6.77,0.0,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,463.90153680000003,2167.2604669999996,0.0,2631.1620037999996
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - organics",CTUe,,,,28.08,6.77,0.0,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,4.8899354399999995,4.882876039999999,0.0,9.772811479999998
C1_2022,C1,2022,tonne,"Eutrophication, freshwater",kg P eq,,,,28.08,6.77,0.0,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.00623376,0.00644504,0.0,0.0126788
C1_2022,C1,2022,tonne,"Eutrophication, marine",kg N eq,,,,28.08,6.77,0.0,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.07517016,0.018732589999999997,0.0,0.09390275
C1_2022,C1,2022,tonne,"Eutrophication, terrestrial",mol N eq,,,,28.08,6.77,0.0,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,6.77820312,0.35319767,0.0,7.13140079
C1_2022,C1,2022,tonne,"Human toxicity, cancer",CTUh,,,,28.08,6.77,0.0,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.499472e-08,1.71958e-08,0.0,3.219052e-08
C1_2022,C1,2022,tonne,"Human toxicity, cancer - inorganics",CTUh,,,,28.08,6.77,0.0,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.0,4.20417e-17,0.0,4.20417e-17
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",CTUh,,,,28.08,6.77,0.0,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,9.827999999999999e-09,1.4420099999999998e-08,0.0,2.42481e-08
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",CTUh,,,,28.08,6.77,0.0,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,5.16672e-09,2.74185e-09,0.0,7.90857e-09
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer",CTUh,,,,28.08,6.77,0.0,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,5.615999999999999e-07,4.39373e-07,0.0,1.000973e-06
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,,,28.08,6.77,0.0,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,4.82976e-08,9.8165e-08,0.0,1.464626e-07
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - metals",CTUh,,,,28.08,6.77,0.0,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,4.85784e-07,3.3105299999999997e-07,0.0,8.168369999999999e-07
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - organics",CTUh,,,,28.08,6.77,0.0,1.35e-09,1.78e-09,2.01e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,3.7908e-08,1.20506e-08,0.0,4.9958599999999996e-08
C1_2022,C1,2022,tonne,Ionising radiation,kBq U-235 eq,,,,28.08,6.77,0.0,0.099841,0.337545,0.245573,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,2.8035352799999997,2.28517965,0.0,5.08871493
C1_2022,C1,2022,tonne,Land use,Pt,,,,28.08,6.77,0.0,2.291069,30.93982,25.134,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,64.33321751999999,209.4625814,0.0,273.79579892
C1_2022,C1,2022,tonne,Ozone depletion,kg CFC11 eq,,,,28.08,6.77,0.0,3.58e-07,3.47e-07,3.94e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.0052639999999999e-05,2.34919e-06,0.0,1.2401829999999999e-05
C1_2022,C1,2022,tonne,Particulate matter,disease inc.,,,,28.08,6.77,0.0,3.99e-07,2.34e-07,2.27e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.120392e-05,1.5841799999999999e-06,0.0,1.2788099999999999e-05
C1_2022,C1,2022,tonne,Photochemical ozone formation,kg NMVOC eq,,,,28.08,6.77,0.0,0.003983,0.00811,0.007996,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.11184264000000001,0.054904699999999994,0.0,0.16674734
C1_2022,C1,2022,tonne,"Resource use, fossils",MJ,,,,28.08,6.77,0.0,46.52414,42.89925,42.33106,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1306.3978512,290.4279225,0.0,1596.8257737000001
C1_2022,C1,2022,tonne,"Resource use, minerals and metals",kg Sb eq,,,,28.08,6.77,0.0,2.71e-05,5.39e-05,5.15e-05,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.000760968,0.00036490299999999997,0.0,0.001125871
C1_2022,C1,2022,tonne,Water use,m3 depriv.,,,,28.08,6.77,0.0,0.21489,1.587446,1.186461,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,6.0341112,10.74700942,0.0,16.78112062
C1_2023,C1,2023,tonne,Acidification,mol H+ eq,,,,28.42,6.61,0.0,0.057621,0.028972,0.018432,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.6375888200000002,0.19150492000000002,0.0,1.8290937400000002
