dmu_id,farmer_id,year,operation_rows_n,products,n_kg_ha,p_kg_ha,k_kg_ha,n_kg_tonne,p_kg_tonne,k_kg_tonne
C1_2022,C1,2022,3,20-10-00; Ammonium sulfate 21%; Urea 46%,141.2,30.0,0.0,31.8723250564,6.77,0.0
C1_2023,C1,2023,2,20-10-00; Urea 46%,129.0,30.0,0.0,28.42,6.61,0.0
C1_2024,C1,2024,2,20-10-00; Urea 46%,129.0,30.0,0.0,26.99,6.28,0.0
C2_2022,C2,2022,2,20-20-0; Urea 46%,101.4,60.0,0.0,14.67,8.68,0.0
C2_2023,C2,2023,4,20-10-00; Nergetic 30; Urea 46%; Yara Vera Amidas (40%),78.37,20.0,0.0,17.9,2.3,0.0
C2_2024,C2,2024,4,20-10-00; 20-20-0; Urea 46%; Yara Vera Amidas (40%),130.51,39.12,0.0,32.53,12.18,0.0
C3_2022,C3,2022,3,20-10-00; Ammonium sulfate 21%; Urea 46%,109.9,20.0,0.0,23.0417610063,4.19,0.0
C3_2023,C3,2023,3,20-10-00; 20-20-0; Urea 46%,109.8,29.15,0.0,26.91,12.63,0.0
C3_2024,C3,2024,3,20-10-00; 20-20-0; Urea 46%,114.4,44.43,0.0,28.5,13.0,0.0
C4_2022,C4,2022,2,15-15-15; Urea 46%,102.79,39.0,39.0,33.9,10.77,10.77
C4_2023,C4,2023,2,20-10-00; Urea 46%,146.48,30.0,0.0,32.55,6.67,0.0
C4_2024,C4,2024,2,20-20-0; Urea 46%,116.0,70.0,0.0,14.02,8.46,0.0
C5_2022,C5,2022,3,20-10-00; Nexur S (38%); Urea 46%,80.24,20.0,0.0,20.7,3.34,0.0
C5_2023,C5,2023,5,20-08-08; 20-10-00; 20-20-0; Nexur S (38%); Urea 46%,112.97,40.61,5.62,48.0,19.1,3.85
C5_2024,C5,2024,3,40-20-00; Ammonium sulfate 21%; Nexur S (38%),142.09,20.0,0.0,17.3258536585,2.44,0.0
C6_2022,C6,2022,3,20-20-0; Ammonium sulfate 21%; Urea 46%,131.7874435782,72.0,0.0,61.302764455,33.49,0.0
C6_2023,C6,2023,2,20-08-10; Urea 46%,134.5,21.6,27.0,46.7,7.5,9.38
C6_2024,C6,2024,2,20-20-0; Urea 46%,127.6,54.0,0.0,17.6,7.45,0.0
C7_2023,C7,2023,3,15-15-15; Nergetic 30; Urea 46%,112.23,45.0,45.0,26.15,6.76,6.76
C7_2024,C7,2024,4,15-15-15; 20-08-10; Urea 46%,140.41,71.68,73.93,43.93,23.97,25.45
C8_2022,C8,2022,3,20-10-00; Ammonium sulfate 21%; Urea 46%,123.5010288066,25.0,0.0,22.2095375551,4.5,0.0
C8_2023,C8,2023,2,15-15-15; Urea 46%,76.8,44.77,44.77,13.47,7.85,7.85
C8_2024,C8,2024,2,20-20-0; Nexur S (38%),136.0,60.0,0.0,34.43,15.19,0.0
D1_2022,D1,2022,2,15-15-15; Urea 46%,79.44,24.24,24.24,73.68,33.09,33.09
D1_2023,D1,2023,2,08-20-30; Urea 46%,47.0,60.0,90.0,9.59,12.24,18.37
D1_2024,D1,2024,2,20-20-0; Nexur S (38%),136.0,60.0,0.0,23.94,10.56,0.0
D2_2022,D2,2022,2,15-15-15; Urea 46%,143.92,74.96,74.96,117.08,60.98,60.98
D2_2023,D2,2023,2,15-15-15; Urea 46%,81.8,45.0,45.0,16.9,9.3,9.3
D2_2024,D2,2024,2,15-15-15; Urea 46%,106.0,60.0,60.0,15.65,8.86,8.86
NT1_2023,NT1,2023,2,18-46-00; Nitroagro 40,89.6,55.2,0.0,13.81,8.51,0.0
NT1_2024,NT1,2024,3,15-15-15; 20-20-0; Nitroagro 40,302.08,210.08,49.5,29.18,16.24,6.96
NT2_2022,NT2,2022,2,15-15-15; Urea 46%,65.45,57.0,57.0,27.92,13.9,13.9
NT2_2023,NT2,2023,2,15-15-15; Urea 46%,129.5,37.5,37.5,17.72,5.13,5.13
NT2_2024,NT2,2024,2,15-15-15; Urea 46%,91.0,45.0,45.0,19.09,9.44,9.44
