dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C1_2022,C1,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C1_2022,C1,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,160.1028
C1_2022,C1,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C1_2022,C1,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,90.60480000000001
C1_2022,C1,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,120.0771
C1_2022,C1,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,12.880000000000003
C1_2023,C1,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C1_2023,C1,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,166.023
C1_2023,C1,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C1_2023,C1,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,96.52499999999999
C1_2023,C1,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,124.51725
C1_2023,C1,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,13.8
C1_2024,C1,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C1_2024,C1,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,166.023
C1_2024,C1,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C1_2024,C1,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,96.52499999999999
C1_2024,C1,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,124.51725
C1_2024,C1,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,13.8
C2_2022,C2,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C2_2022,C2,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,130.5018
C2_2022,C2,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C2_2022,C2,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,61.003800000000005
C2_2022,C2,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,97.87634999999999
C2_2022,C2,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,8.28
C2_2023,C2,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C2_2023,C2,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,100.8632210745595
C2_2023,C2,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C2_2023,C2,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,26.735439371582324
C2_2023,C2,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,75.64741580591962
C2_2023,C2,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,2.87475045568961
C2_2024,C2,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C2_2024,C2,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,167.96671968190856
C2_2024,C2,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C2_2024,C2,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,90.94629423459244
C2_2024,C2,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,125.9750397614314
C2_2024,C2,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,12.803180914512925
C3_2022,C3,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C3_2022,C3,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,122.5224
C3_2022,C3,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C3_2022,C3,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,76.19040000000001
C3_2022,C3,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,91.89180000000002
C3_2022,C3,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,11.040000000000003
C3_2023,C3,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C3_2023,C3,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,141.31259999999997
