dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C1_2022,C1,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,938.2818961625281
C1_2022,C1,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,54.69507900677201
C1_2022,C1,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,15.688036117381488
C1_2022,C1,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,17.047665914221223
C1_2022,C1,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,36.09875214446953
C1_2022,C1,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,23.175319789315274
C1_2023,C1,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,915.548193832599
C1_2023,C1,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,48.75859030837004
C1_2023,C1,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,15.3079295154185
C1_2023,C1,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,16.016629955947135
C1_2023,C1,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,32.18066960352422
C1_2023,C1,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,24.229074889867842
C1_2024,C1,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,869.5792468619245
C1_2024,C1,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,46.31046025104602
C1_2024,C1,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,14.539330543933051
C1_2024,C1,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,15.212447698744768
C1_2024,C1,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,30.56490376569037
C1_2024,C1,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,23.01255230125523
C2_2022,C2,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,601.5323878437047
C2_2022,C2,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,25.181244573082488
C2_2022,C2,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,10.057597684515194
C2_2022,C2,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,7.952952243125905
C2_2022,C2,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,16.61962141823444
C2_2022,C2,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,9.55137481910275
C2_2023,C2,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,477.2202985074626
C2_2023,C2,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,15.440059701492537
C2_2023,C2,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,7.979104477611939
C2_2023,C2,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,4.529126865671642
C2_2023,C2,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,10.19043940298507
C2_2023,C2,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,2.630847020132258
C2_2024,C2,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,562.4612719891745
C2_2024,C2,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,30.305163734776723
C2_2024,C2,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,9.404330175913396
C2_2024,C2,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,9.820500811907984
C2_2024,C2,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,20.001408064952635
C2_2024,C2,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,13.80978898821774
C3_2022,C3,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,871.4022641509433
C3_2022,C3,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,39.53635220125787
C3_2022,C3,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,14.569811320754717
C3_2022,C3,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,12.461685534591195
C3_2022,C3,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,26.093992452830186
C3_2022,C3,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,18.448637316561847
C3_2023,C3,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,699.7624242424241
C3_2023,C3,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,31.719999999999995
C3_2023,C3,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,11.699999999999998
C3_2023,C3,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,10.450555555555555
C3_2023,C3,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,20.9352
C3_2023,C3,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,16.04938271604938
C3_2024,C3,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,720.3793414211439
C3_2024,C3,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,34.02259965337956
C3_2024,C3,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,12.044714038128248
C3_2024,C3,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,11.271473136915082
C3_2024,C3,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,22.454915771230503
C3_2024,C3,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,17.793183131138072
C4_2022,C4,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,1148.228950276243
C4_2022,C4,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,48.72586740331491
C4_2022,C4,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,19.19834254143646
C4_2022,C4,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,16.42347099447514
C4_2022,C4,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,32.15907248618784
C4_2022,C4,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,28.0943353911855
C4_2023,C4,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,923.6863999999999
C4_2023,C4,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,55.85770666666666
C4_2023,C4,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,15.443999999999997
C4_2023,C4,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,18.658640000000002
C4_2023,C4,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,36.8660864
C4_2023,C4,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,30.63703703703704
C4_2024,C4,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,502.2461092315128
C4_2024,C4,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,24.052199130014504
C4_2024,C4,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,8.397535041082648
C4_2024,C4,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,7.568148864185597
C4_2024,C4,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,15.87445142580957
C4_2024,C4,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,8.860963428387304
C5_2022,C5,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,693.9213355592653
C5_2022,C5,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,22.98695158597663
C5_2022,C5,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,11.602337228714521
C5_2022,C5,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,6.690108180300501
C5_2022,C5,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,15.171388046744573
C5_2022,C5,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,3.424510937031805
C5_2023,C5,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,667.189213483146
C5_2023,C5,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,31.11661637239165
C5_2023,C5,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,11.155377207062598
C5_2023,C5,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,8.823421348314607
C5_2023,C5,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,20.536966805778487
C5_2023,C5,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,2.475364356308887
C5_2024,C5,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,506.9010731707317
C5_2024,C5,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,29.734931707317074
C5_2024,C5,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,8.475365853658536
C5_2024,C5,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,7.4157358536585365
C5_2024,C5,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,19.625054926829268
C5_2024,C5,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
C6_2022,C6,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,1933.2971162790695
C6_2022,C6,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,105.18476892101918
C6_2022,C6,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,32.324651162790694
C6_2022,C6,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,31.77193052838988
C6_2022,C6,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,69.42194748787264
C6_2022,C6,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,34.10852713178294
C6_2023,C6,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,1443.26
C6_2023,C6,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,80.13958333333335
C6_2023,C6,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,24.131249999999998
C6_2023,C6,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,26.83484375
C6_2023,C6,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,52.892125
C6_2023,C6,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,44.56018518518518
C6_2024,C6,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,565.5222857142857
C6_2024,C6,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,29.790693877551018
C6_2024,C6,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,9.455510204081632
C6_2024,C6,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,9.910775510204083
C6_2024,C6,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,19.66185795918367
C6_2024,C6,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,15.963718820861683
C7_2023,C7,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,625.0509473684209
C7_2023,C7,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,28.960403007518796
C7_2023,C7,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,10.45082706766917
C7_2023,C7,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,9.39497097744361
C7_2023,C7,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,19.1138659849624
C7_2023,C7,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,13.293345874732372
C7_2024,C7,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,832.9837274549097
C7_2024,C7,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,48.28528256513026
C7_2024,C7,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,13.927454909819637
C7_2024,C7,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,15.177744889779555
C7_2024,C7,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,31.868286492985963
C7_2024,C7,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,17.644718851042562
C8_2022,C8,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,747.5879136690647
C8_2022,C8,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,38.11650457412331
C8_2022,C8,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,12.499640287769783
C8_2022,C8,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,12.507419619860633
C8_2022,C8,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,25.15689301892138
C8_2022,C8,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,19.784172661870507
C8_2023,C8,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,725.4081675392669
C8_2023,C8,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,22.99979057591623
C8_2023,C8,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,12.128795811518321
C8_2023,C8,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,7.284165445026178
C8_2023,C8,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,15.179861780104709
C8_2023,C8,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,8.912628883300894
C8_2024,C8,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,1052.3009620253163
C8_2024,C8,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,59.08253164556961
C8_2024,C8,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,17.594430379746832
C8_2024,C8,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,16.247696202531642
C8_2024,C8,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,38.994470886075945
C8_2024,C8,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
D1_2022,D1,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,3056.3152941176463
D1_2022,D1,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,100.23458823529411
D1_2022,D1,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,51.10147058823528
D1_2022,D1,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,34.52945294117647
D1_2022,D1,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,66.1548282352941
D1_2022,D1,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,64.70588235294117
D1_2023,D1,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,848.2834285714284
D1_2023,D1,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,16.459591836734692
D1_2023,D1,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,14.183265306122445
D1_2023,D1,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,5.331857142857142
D1_2023,D1,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,10.863330612244896
D1_2023,D1,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,7.48299319727891
D1_2024,D1,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,731.7938028169013
D1_2024,D1,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,41.08732394366197
