dmu_id,farmer_id,year,variety,area_ha,operation,product,n_form,frac_gasf,n_kg_ha_weight,urea_product_kg_ha,productivity_t_ha,n2o_direct_synthetic_co2eq_ha,n2o_direct_synthetic_co2eq_tonne,n2o_indirect_volatilisation_co2eq_ha,n2o_indirect_volatilisation_co2eq_tonne,n2o_indirect_leaching_co2eq_ha,n2o_indirect_leaching_co2eq_tonne,co2_from_urea_ha,co2_from_urea_tonne
C1_2022,C1,2022,All,45.92,basal_fertilisation,20-10-00,unknown,0.11,60.0,0.0,4.43,102.96,23.24153498871332,28.314,6.391422121896163,67.9536,15.33941309255079,0.0,0.0
C1_2022,C1,2022,All,45.92,topdressing,Urea 46%,urea,0.15,64.4,140.0,4.43,110.51040000000002,24.945914221218967,41.4414,9.354717832957112,72.936864,16.464303386004516,102.66666666666666,23.175319789315274
C1_2022,C1,2022,All,45.92,topdressing,Ammonium sulfate 21%,ammonium_based,0.08,16.8,0.0,4.43,28.828800000000005,6.507629796839731,5.76576,1.301525959367946,19.027008,4.295035665914221,0.0,0.0
C1_2023,C1,2023,All,45.51,basal_fertilisation,20-10-00,unknown,0.11,60.0,0.0,4.54,102.96,22.6784140969163,28.314,6.236563876651982,67.9536,14.967753303964756,0.0,0.0
C1_2023,C1,2023,All,45.51,topdressing,Urea 46%,urea,0.15,69.0,150.0,4.54,118.404,26.080176211453743,44.4015,9.780066079295153,78.14663999999999,17.21291629955947,110.0,24.229074889867842
C1_2024,C1,2024,All,45.51,basal_fertilisation,20-10-00,unknown,0.11,60.0,0.0,4.78,102.96,21.539748953974893,28.314,5.923430962343096,67.9536,14.21623430962343,0.0,0.0
C1_2024,C1,2024,All,45.51,topdressing,Urea 46%,urea,0.15,69.0,150.0,4.78,118.404,24.770711297071127,44.4015,9.289016736401672,78.14663999999999,16.348669456066943,110.0,23.01255230125523
C2_2022,C2,2022,All,111.38,basal_fertilisation,20-20-0,unknown,0.11,60.0,0.0,6.91,102.96,14.900144717800288,28.314,4.097539797395079,67.9536,9.83409551374819,0.0,0.0
C2_2022,C2,2022,All,111.38,topdressing,Urea 46%,urea,0.15,41.4,90.0,6.91,71.0424,10.2810998552822,26.640900000000002,3.855412445730825,46.887983999999996,6.785525904486251,66.0,9.55137481910275
C2_2023,C2,2023,All,115.21,basal_fertilisation,20-10-00,unknown,0.11,40.0,0.0,8.71,68.64,7.880597014925373,18.876,2.1671641791044776,45.30239999999999,5.201194029850745,0.0,0.0
C2_2023,C2,2023,All,115.21,topdressing,Yara Vera Amidas (40%),unknown,0.11,15.8,0.0,8.71,27.1128,3.1128358208955222,7.45602,0.8560298507462686,17.894447999999997,2.0544716417910442,0.0,0.0
