dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C1_2022,C1,2022,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C1_2022,C1,2022,ha,n2o,n2o_direct_synthetic,Climate change,Pt,428869.58400000003
C1_2022,C1,2022,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C1_2022,C1,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,133672.45320000002
C1_2022,C1,2022,ha,n2o,n2o_indirect_leaching,Climate change,Pt,283053.92544
C1_2022,C1,2022,ha,co2,co2_from_urea,Climate change,Pt,181719.99999999997
C1_2023,C1,2023,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C1_2023,C1,2023,ha,n2o,n2o_direct_synthetic,Climate change,Pt,391814.27999999997
C1_2023,C1,2023,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C1_2023,C1,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,128706.43499999998
C1_2023,C1,2023,ha,n2o,n2o_indirect_leaching,Climate change,Pt,258597.42479999998
C1_2023,C1,2023,ha,co2,co2_from_urea,Climate change,Pt,194700.0
C1_2024,C1,2024,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C1_2024,C1,2024,ha,n2o,n2o_direct_synthetic,Climate change,Pt,391814.27999999997
C1_2024,C1,2024,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C1_2024,C1,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,128706.43499999998
C1_2024,C1,2024,ha,n2o,n2o_indirect_leaching,Climate change,Pt,258597.42479999998
C1_2024,C1,2024,ha,co2,co2_from_urea,Climate change,Pt,194700.0
C2_2022,C2,2022,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C2_2022,C2,2022,ha,n2o,n2o_direct_synthetic,Climate change,Pt,307984.24799999996
C2_2022,C2,2022,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C2_2022,C2,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,97270.17300000001
C2_2022,C2,2022,ha,n2o,n2o_indirect_leaching,Climate change,Pt,203269.60367999997
C2_2022,C2,2022,ha,co2,co2_from_urea,Climate change,Pt,116820.0
C2_2023,C2,2023,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C2_2023,C2,2023,ha,n2o,n2o_direct_synthetic,Climate change,Pt,238034.7684
C2_2023,C2,2023,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C2_2023,C2,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,69824.19015
C2_2023,C2,2023,ha,n2o,n2o_indirect_leaching,Climate change,Pt,157102.94714399998
C2_2023,C2,2023,ha,co2,co2_from_urea,Climate change,Pt,40558.979255272985
C2_2024,C2,2024,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C2_2024,C2,2024,ha,n2o,n2o_direct_synthetic,Climate change,Pt,396400.6332
C2_2024,C2,2024,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C2_2024,C2,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,128455.09676999999
C2_2024,C2,2024,ha,n2o,n2o_indirect_leaching,Climate change,Pt,261624.41791199995
C2_2024,C2,2024,ha,co2,co2_from_urea,Climate change,Pt,180636.1829025845
C3_2022,C3,2022,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C3_2022,C3,2022,ha,n2o,n2o_direct_synthetic,Climate change,Pt,333801.468
C3_2022,C3,2022,ha,n2o,n2o_direct_straw,Climate change,Pt,123011.45999999998
C3_2022,C3,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,Pt,105212.76479999999
C3_2022,C3,2022,ha,n2o,n2o_indirect_leaching,Climate change,Pt,220308.96887999994
C3_2022,C3,2022,ha,co2,co2_from_urea,Climate change,Pt,155760.0
C3_2023,C3,2023,ha,ch4,ch4_total,Climate change,Pt,7357162.175999999
C3_2023,C3,2023,ha,n2o,n2o_direct_synthetic,Climate change,Pt,333497.736
