dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C1_2022,C1,2022,tonne,ch4,ch4_total,Climate change,Pt,7027778.316352145
C1_2022,C1,2022,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,63968.83882618511
C1_2022,C1,2022,tonne,n2o,n2o_direct_straw,Climate change,Pt,20825.867945823928
C1_2022,C1,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,36201.014898419875
C1_2022,C1,2022,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,47976.629119638834
C1_2022,C1,2022,tonne,co2,co2_from_urea,Climate change,Pt,5146.185101580137
C1_2023,C1,2023,tonne,ch4,ch4_total,Climate change,Pt,6857501.749215859
C1_2023,C1,2023,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,64727.02863436123
C1_2023,C1,2023,tonne,n2o,n2o_direct_straw,Climate change,Pt,20321.276431718063
C1_2023,C1,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,37631.993392070486
C1_2023,C1,2023,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,48545.271475770925
C1_2023,C1,2023,tonne,co2,co2_from_urea,Climate change,Pt,5380.176211453745
C1_2024,C1,2024,tonne,ch4,ch4_total,Climate change,Pt,6513192.037958159
C1_2024,C1,2024,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,61477.13598326359
C1_2024,C1,2024,tonne,n2o,n2o_direct_straw,Climate change,Pt,19300.96129707113
C1_2024,C1,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,35742.52092050209
C1_2024,C1,2024,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,46107.8519874477
C1_2024,C1,2024,tonne,co2,co2_from_urea,Climate change,Pt,5110.041841004184
C2_2022,C2,2022,tonne,ch4,ch4_total,Climate change,Pt,4505507.661568741
C2_2022,C2,2022,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,33428.10217076701
C2_2022,C2,2022,tonne,n2o,n2o_direct_straw,Climate change,Pt,13351.460926193922
C2_2022,C2,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,15626.15426917511
C2_2022,C2,2022,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,25071.07662807525
C2_2022,C2,2022,tonne,co2,co2_from_urea,Climate change,Pt,2120.9261939218522
C2_2023,C2,2023,tonne,ch4,ch4_total,Climate change,Pt,3574403.8968358203
C2_2023,C2,2023,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,20496.888783234248
C2_2023,C2,2023,tonne,n2o,n2o_direct_straw,Climate change,Pt,10592.26119402985
C2_2023,C2,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,5433.034177692389
C2_2023,C2,2023,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,15372.666587425685
C2_2023,C2,2023,tonne,co2,co2_from_urea,Climate change,Pt,584.1915392159138
C2_2024,C2,2024,tonne,ch4,ch4_total,Climate change,Pt,4212863.050262517
C2_2024,C2,2024,tonne,n2o,n2o_direct_synthetic,Climate change,Pt,40230.18861122844
C2_2024,C2,2024,tonne,n2o,n2o_direct_straw,Climate change,Pt,12484.248308525033
C2_2024,C2,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,Pt,21782.806602872613
C2_2024,C2,2024,tonne,n2o,n2o_indirect_leaching,Climate change,Pt,30172.641458421327
