dmu_id,farmer_id,year,area_ha,production_t,operation_rows_n,centrifugal_spreader_ha_worked_total,centrifugal_spreader_ha_worked_per_ha,centrifugal_spreader_ha_worked_per_tonne,combine_harvester_ha_worked_total,combine_harvester_ha_worked_per_ha,combine_harvester_ha_worked_per_tonne,disk_harrow_ha_worked_total,disk_harrow_ha_worked_per_ha,disk_harrow_ha_worked_per_tonne,laser_leveler_ha_worked_total,laser_leveler_ha_worked_per_ha,laser_leveler_ha_worked_per_tonne,rotary_tiller_ha_worked_total,rotary_tiller_ha_worked_per_ha,rotary_tiller_ha_worked_per_tonne,seeder_ha_worked_total,seeder_ha_worked_per_ha,seeder_ha_worked_per_tonne,sprayer_ha_worked_total,sprayer_ha_worked_per_ha,sprayer_ha_worked_per_tonne
C1_2022,C1,2022,45.92,203.6418,38,183.68,4.0,0.9019759205,45.92,1.0,0.2254939801,137.76,3.0,0.6764819403,45.92,1.0,0.2254939801,45.92,1.0,0.2254939801,0.0,0.0,0.0,237.02,5.1615853659,1.1639064279
C1_2023,C1,2023,45.51,196.7616,31,136.53,3.0,0.6938853923,45.51,1.0,0.2312951308,136.53,3.0,0.6938853923,45.51,1.0,0.2312951308,45.51,1.0,0.2312951308,0.0,0.0,0.0,260.94,5.7336849044,1.3261733997
C1_2024,C1,2024,45.51,227.7032,41,136.53,3.0,0.5995963166,45.51,1.0,0.1998654389,273.06,6.0,1.1991926332,45.51,1.0,0.1998654389,45.51,1.0,0.1998654389,0.0,0.0,0.0,242.51,5.3287189629,1.0650267541
C2_2022,C2,2022,111.38,777.8801,24,334.14,3.0,0.4295520608,111.38,1.0,0.1431840203,222.76,2.0,0.2863680405,111.38,1.0,0.1431840203,111.38,1.0,0.1431840203,0.0,0.0,0.0,470.52,4.2244568145,0.6048747101
C2_2023,C2,2023,115.21,1003.1592,25,343.41,2.9807308393,0.3423285158,115.21,1.0,0.1148471748,345.63,3.0,0.3445415244,115.21,1.0,0.1148471748,115.21,1.0,0.1148471748,0.0,0.0,0.0,577.62,5.0136272893,0.5758009297
C2_2024,C2,2024,120.72,892.1208,31,375.44,3.1100066269,0.4208398683,120.72,1.0,0.1353179973,362.16,3.0,0.4059539919,120.72,1.0,0.1353179973,120.72,1.0,0.1353179973,0.0,0.0,0.0,384.66,3.1863817097,0.4311747916
C3_2022,C3,2022,114.54,496.2327,39,458.16,4.0,0.9232765193,114.54,1.0,0.2308191298,343.62,3.0,0.6924573894,114.54,1.0,0.2308191298,114.54,1.0,0.2308191298,0.0,0.0,0.0,516.16,4.5063733194,1.0401571682
C3_2023,C3,2023,112.23,639.8522,28,336.69,3.0,0.5261996442,112.23,1.0,0.1753998814,336.69,3.0,0.5261996442,112.23,1.0,0.1753998814,112.23,1.0,0.1753998814,0.0,0.0,0.0,609.11,5.4273367192,0.9519542169
C3_2024,C3,2024,112.23,723.4214,31,336.69,3.0,0.4654133815,112.23,1.0,0.1551377938,336.69,3.0,0.4654133815,112.23,1.0,0.1551377938,112.23,1.0,0.1551377938,0.0,0.0,0.0,427.7,3.8109239954,0.5912183411
C4_2022,C4,2022,25.21,91.2602,16,69.63,2.7619992067,0.7629832063,25.21,1.0,0.2762430939,75.63,3.0,0.8287292818,25.21,1.0,0.2762430939,25.21,1.0,0.2762430939,0.0,0.0,0.0,172.89,6.85799286,1.8944731657
