dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C1_2022,C1,2022,ha,Acidification,mol H+ eq,154.9520905923,,0.003484,1 kg seed,1_chara,,0.5398530836235732
C1_2022,C1,2022,ha,Climate change,kg CO2 eq,154.9520905923,,3.399088,1 kg seed,1_chara,,526.6957917071999
C1_2022,C1,2022,ha,Climate change - Biogenic,kg CO2 eq,154.9520905923,,2.889202,1 kg seed,1_chara,,447.6878900434544
C1_2022,C1,2022,ha,Climate change - Fossil,kg CO2 eq,154.9520905923,,0.50857,1 kg seed,1_chara,,78.80398471252602
C1_2022,C1,2022,ha,Climate change - Land use and LU change,kg CO2 eq,154.9520905923,,0.001315,1 kg seed,1_chara,,0.20376199912887452
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater",CTUe,154.9520905923,,98.81796,1 kg seed,1_chara,,15312.049490066278
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - inorganics",CTUe,154.9520905923,,0.974135,1 kg seed,1_chara,,150.94425476913017
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - metals",CTUe,154.9520905923,,5.625106,1 kg seed,1_chara,,871.6219345032903
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - organics",CTUe,154.9520905923,,92.21872,1 kg seed,1_chara,,14289.483455745949
C1_2022,C1,2022,ha,"Eutrophication, freshwater",kg P eq,154.9520905923,,0.000426,1 kg seed,1_chara,,0.06600959059231981
C1_2022,C1,2022,ha,"Eutrophication, marine",kg N eq,154.9520905923,,0.003472,1 kg seed,1_chara,,0.5379936585364656
C1_2022,C1,2022,ha,"Eutrophication, terrestrial",mol N eq,154.9520905923,,0.015836,1 kg seed,1_chara,,2.453821306619663
C1_2022,C1,2022,ha,"Human toxicity, cancer",CTUh,154.9520905923,,4.69e-10,1 kg seed,1_chara,,7.26725304877887e-08
C1_2022,C1,2022,ha,"Human toxicity, cancer - inorganics",CTUh,154.9520905923,,1.3e-23,1 kg seed,1_chara,,2.0143771776999e-21
C1_2022,C1,2022,ha,"Human toxicity, cancer - metals",CTUh,154.9520905923,,4.14e-10,1 kg seed,1_chara,,6.415016550521221e-08
C1_2022,C1,2022,ha,"Human toxicity, cancer - organics",CTUh,154.9520905923,,5.57e-11,1 kg seed,1_chara,,8.63083144599111e-09
C1_2022,C1,2022,ha,"Human toxicity, non-cancer",CTUh,154.9520905923,,4.97e-08,1 kg seed,1_chara,,7.70111890243731e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - inorganics",CTUh,154.9520905923,,7.61e-10,1 kg seed,1_chara,,1.179185409407403e-07
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - metals",CTUh,154.9520905923,,3.77e-08,1 kg seed,1_chara,,5.8416938153297106e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - organics",CTUh,154.9520905923,,1.13e-08,1 kg seed,1_chara,,1.7509586236929902e-06
C1_2022,C1,2022,ha,Ionising radiation,kBq U-235 eq,154.9520905923,,0.024891,1 kg seed,1_chara,,3.8569124869329396
C1_2022,C1,2022,ha,Land use,Pt,154.9520905923,,152.1972,1 kg seed,1_chara,,23583.274322294405
C1_2022,C1,2022,ha,Ozone depletion,kg CFC11 eq,154.9520905923,,5.26e-08,1 kg seed,1_chara,,8.15047996515498e-06
C1_2022,C1,2022,ha,Particulate matter,disease inc.,154.9520905923,,6.3e-08,1 kg seed,1_chara,,9.7619817073149e-06
C1_2022,C1,2022,ha,Photochemical ozone formation,kg NMVOC eq,154.9520905923,,0.00338,1 kg seed,1_chara,,0.523738066201974
C1_2022,C1,2022,ha,"Resource use, fossils",MJ,154.9520905923,,4.956983,1 kg seed,1_chara,,768.0948788804911
C1_2022,C1,2022,ha,"Resource use, minerals and metals",kg Sb eq,154.9520905923,,3.84e-06,1 kg seed,1_chara,,0.000595016027874432
C1_2022,C1,2022,ha,Water use,m3 depriv.,154.9520905923,,32.39614,1 kg seed,1_chara,,5019.8496201208345
C1_2023,C1,2023,ha,Acidification,mol H+ eq,206.5853658537,,0.003484,1 kg seed,1_chara,,0.7197434146342908
C1_2023,C1,2023,ha,Climate change,kg CO2 eq,206.5853658537,,3.399088,1 kg seed,1_chara,,702.2018380489214
C1_2023,C1,2023,ha,Climate change - Biogenic,kg CO2 eq,206.5853658537,,2.889202,1 kg seed,1_chara,,596.8668521952418
C1_2023,C1,2023,ha,Climate change - Fossil,kg CO2 eq,206.5853658537,,0.50857,1 kg seed,1_chara,,105.0631195122162
C1_2023,C1,2023,ha,Climate change - Land use and LU change,kg CO2 eq,206.5853658537,,0.001315,1 kg seed,1_chara,,0.2716597560976155
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater",CTUe,206.5853658537,,98.81796,1 kg seed,1_chara,,20414.344419516292
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - inorganics",CTUe,206.5853658537,,0.974135,1 kg seed,1_chara,,201.24203536589405
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - metals",CTUe,206.5853658537,,5.625106,1 kg seed,1_chara,,1162.064580975843
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - organics",CTUe,206.5853658537,,92.21872,1 kg seed,1_chara,,19051.038009759923
C1_2023,C1,2023,ha,"Eutrophication, freshwater",kg P eq,206.5853658537,,0.000426,1 kg seed,1_chara,,0.0880053658536762
C1_2023,C1,2023,ha,"Eutrophication, marine",kg N eq,206.5853658537,,0.003472,1 kg seed,1_chara,,0.7172643902440464
C1_2023,C1,2023,ha,"Eutrophication, terrestrial",mol N eq,206.5853658537,,0.015836,1 kg seed,1_chara,,3.2714858536591933
C1_2023,C1,2023,ha,"Human toxicity, cancer",CTUh,206.5853658537,,4.69e-10,1 kg seed,1_chara,,9.688853658538532e-08
C1_2023,C1,2023,ha,"Human toxicity, cancer - inorganics",CTUh,206.5853658537,,1.3e-23,1 kg seed,1_chara,,2.6856097560981002e-21
C1_2023,C1,2023,ha,"Human toxicity, cancer - metals",CTUh,206.5853658537,,4.14e-10,1 kg seed,1_chara,,8.55263414634318e-08
C1_2023,C1,2023,ha,"Human toxicity, cancer - organics",CTUh,206.5853658537,,5.57e-11,1 kg seed,1_chara,,1.150680487805109e-08
C1_2023,C1,2023,ha,"Human toxicity, non-cancer",CTUh,206.5853658537,,4.97e-08,1 kg seed,1_chara,,1.0267292682928891e-05
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - inorganics",CTUh,206.5853658537,,7.61e-10,1 kg seed,1_chara,,1.572114634146657e-07
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - metals",CTUh,206.5853658537,,3.77e-08,1 kg seed,1_chara,,7.78826829268449e-06
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - organics",CTUh,206.5853658537,,1.13e-08,1 kg seed,1_chara,,2.3344146341468103e-06
C1_2023,C1,2023,ha,Ionising radiation,kBq U-235 eq,206.5853658537,,0.024891,1 kg seed,1_chara,,5.142116341464447
C1_2023,C1,2023,ha,Land use,Pt,206.5853658537,,152.1972,1 kg seed,1_chara,,31441.714243908755
C1_2023,C1,2023,ha,Ozone depletion,kg CFC11 eq,206.5853658537,,5.26e-08,1 kg seed,1_chara,,1.086639024390462e-05
C1_2023,C1,2023,ha,Particulate matter,disease inc.,206.5853658537,,6.3e-08,1 kg seed,1_chara,,1.30148780487831e-05
C1_2023,C1,2023,ha,Photochemical ozone formation,kg NMVOC eq,206.5853658537,,0.00338,1 kg seed,1_chara,,0.6982585365855061
C1_2023,C1,2023,ha,"Resource use, fossils",MJ,206.5853658537,,4.956983,1 kg seed,1_chara,,1024.0401465855714
C1_2023,C1,2023,ha,"Resource use, minerals and metals",kg Sb eq,206.5853658537,,3.84e-06,1 kg seed,1_chara,,0.000793287804878208
C1_2023,C1,2023,ha,Water use,m3 depriv.,206.5853658537,,32.39614,1 kg seed,1_chara,,6692.568434147685
C1_2024,C1,2024,ha,Acidification,mol H+ eq,193.1179960448,,0.003484,1 kg seed,1_chara,,0.6728230982200832
