dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C1_2022,C1,2022,tonne,Acidification,mol H+ eq,,34.940763635,0.003484,1 kg seed,1_chara,,0.12173362050434001
C1_2022,C1,2022,tonne,Climate change,kg CO2 eq,,34.940763635,3.399088,1 kg seed,1_chara,,118.76673038256489
C1_2022,C1,2022,tonne,Climate change - Biogenic,kg CO2 eq,,34.940763635,2.889202,1 kg seed,1_chara,,100.95092417576929
C1_2022,C1,2022,tonne,Climate change - Fossil,kg CO2 eq,,34.940763635,0.50857,1 kg seed,1_chara,,17.76982416185195
C1_2022,C1,2022,tonne,Climate change - Land use and LU change,kg CO2 eq,,34.940763635,0.001315,1 kg seed,1_chara,,0.045947104180025004
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater",CTUe,,34.940763635,98.81796,1 kg seed,1_chara,,3452.774983252885
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,34.940763635,0.974135,1 kg seed,1_chara,,34.03702078358073
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - metals",CTUe,,34.940763635,5.625106,1 kg seed,1_chara,,196.5454991678203
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - organics",CTUe,,34.940763635,92.21872,1 kg seed,1_chara,,3222.1924982422474
C1_2022,C1,2022,tonne,"Eutrophication, freshwater",kg P eq,,34.940763635,0.000426,1 kg seed,1_chara,,0.014884765308510002
C1_2022,C1,2022,tonne,"Eutrophication, marine",kg N eq,,34.940763635,0.003472,1 kg seed,1_chara,,0.12131433134072
C1_2022,C1,2022,tonne,"Eutrophication, terrestrial",mol N eq,,34.940763635,0.015836,1 kg seed,1_chara,,0.55332193292386
C1_2022,C1,2022,tonne,"Human toxicity, cancer",CTUh,,34.940763635,4.69e-10,1 kg seed,1_chara,,1.6387218144815003e-08
C1_2022,C1,2022,tonne,"Human toxicity, cancer - inorganics",CTUh,,34.940763635,1.3e-23,1 kg seed,1_chara,,4.542299272550001e-22
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",CTUh,,34.940763635,4.14e-10,1 kg seed,1_chara,,1.4465476144890002e-08
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",CTUh,,34.940763635,5.57e-11,1 kg seed,1_chara,,1.9462005344695003e-09
