dmu_id,farmer_id,year,area_ha,production_t,operation_rows_n,seed_kg_total,seed_kg_ha,seed_kg_tonne
C1_2022,C1,2022,45.92,203.6418,6,7115.4,154.9520905923,34.940763635
C1_2023,C1,2023,45.51,196.7616,4,9401.7,206.5853658537,47.7821892077
C1_2024,C1,2024,45.51,227.7032,5,8788.8,193.1179960448,38.5976130331
C2_2022,C2,2022,111.38,777.8801,3,22373.5,200.8753815766,28.7621447058
C2_2023,C2,2023,115.21,1003.1592,3,20737.8,180.0,20.672491465
C2_2024,C2,2024,120.72,892.1208,5,19315.2,160.0,21.650879567
C3_2022,C3,2022,114.54,496.2327,4,21762.6,190.0,43.8556346649
C3_2023,C3,2023,112.23,639.8522,3,18345.0,163.4589681903,28.670683636
C3_2024,C3,2024,112.23,723.4214,5,21489.3,191.4755412991,29.7050930481
C4_2022,C4,2022,25.21,91.2602,1,5546.2,220.0,60.773480663
C4_2023,C4,2023,23.84,107.3744,2,4768.0,200.0,44.4053703676
C4_2024,C4,2024,23.87,197.4649,2,4057.9,170.0,20.5499812878
C5_2022,C5,2022,35.75,214.045,2,5698.75,159.4055944056,26.6240743769
C5_2023,C5,2023,35.44,217.4936,2,6075.2,171.4221218962,27.9327759529
C5_2024,C5,2024,35.44,290.5825,2,5472.8,154.4243792325,18.8338939888
C6_2022,C6,2022,73.11,157.1865,1,14622.0,200.0,93.023255814
C6_2023,C6,2023,71.09,204.7392,1,14218.0,200.0,69.4444444444
C6_2024,C6,2024,54.22,393.095,1,9759.6,180.0,24.8275862069
C7_2023,C7,2023,37.33,248.2616,2,5972.8,160.0,24.0584931379
C7_2024,C7,2024,37.35,157.786,2,6349.5,170.0,40.2412127819
C8_2022,C8,2022,58.32,323.9088,4,11414.0,195.7133058985,35.2383139946
C8_2023,C8,2023,58.04,334.3764,3,7545.2,130.0,22.5649896344
C8_2024,C8,2024,59.12,233.6194,4,9459.2,160.0,40.4897880912
D1_2022,D1,2022,12.25,16.66,1,1470.0,120.0,88.2352941176
D1_2023,D1,2023,17.99,88.151,1,3957.8,220.0,44.8979591837
D1_2024,D1,2024,24.8,137.368,3,3968.0,160.0,28.885912294
D2_2022,D2,2022,18.21,22.3983,1,3642.0,200.0,162.6016260163
D2_2023,D2,2023,18.22,88.1848,1,4008.4,220.0,45.4545454545
D2_2024,D2,2024,18.22,123.3494,1,3461.8,190.0,28.0649926145
NT1_2023,NT1,2023,14.92,96.8308,1,2984.0,200.0,30.8166409861
NT1_2024,NT1,2024,37.9,269.469,1,8717.0,230.0,32.3488045007
NT2_2022,NT2,2022,20.42,83.1094,1,2756.7,135.0,33.1695331695
NT2_2023,NT2,2023,20.19,147.5889,1,3028.5,150.0,20.5198358413
NT2_2024,NT2,2024,20.19,96.3063,1,3028.5,150.0,31.4465408805
