dmu_id,farmer_id,year,variety,operation,equipment,dose_kg_ha,covered_area_ha,productivity_t_ha,seed_kg_total,production_t
C1_2022,C1,2022,Ronaldo,broadcast sowing,centrifugal_spreader,155.0,15.48,4.49,2399.4,69.5052
C1_2022,C1,2022,Corimbo,broadcast sowing,centrifugal_spreader,155.0,1.5,3.48,232.5,5.22
C1_2022,C1,2022,Sprint,broadcast sowing,centrifugal_spreader,155.0,18.3,4.44,2836.5,81.25200000000001
C1_2022,C1,2022,Leonardo,broadcast sowing,centrifugal_spreader,155.0,1.6,3.16,248.0,5.056000000000001
C1_2022,C1,2022,JSendra,broadcast sowing,centrifugal_spreader,160.0,4.3,5.18,688.0,22.273999999999997
C1_2022,C1,2022,PVL136IT,broadcast sowing,centrifugal_spreader,150.0,4.74,4.29,711.0,20.334600000000002
C1_2023,C1,2023,Leonardo,broadcast sowing,centrifugal_spreader,220.0,28.4,4.0,6248.0,113.6
C1_2023,C1,2023,Corimbo,broadcast sowing,centrifugal_spreader,170.0,4.01,2.16,681.6999999999999,8.6616
C1_2023,C1,2023,PVL136IT,broadcast sowing,centrifugal_spreader,120.0,4.1,5.0,491.99999999999994,20.5
C1_2023,C1,2023,Telemaco,broadcast sowing,centrifugal_spreader,220.0,9.0,6.0,1980.0,54.0
C1_2024,C1,2024,PVL136IT,broadcast sowing,centrifugal_spreader,190.0,6.31,6.0,1198.8999999999999,37.86
C1_2024,C1,2024,Leonardo,broadcast sowing,centrifugal_spreader,190.0,14.21,2.0,2699.9,28.42
C1_2024,C1,2024,Ronaldo,broadcast sowing,centrifugal_spreader,190.0,8.42,1.46,1599.8,12.293199999999999
C1_2024,C1,2024,DIVA PV,broadcast sowing,centrifugal_spreader,190.0,11.84,9.0,2249.6,106.56
C1_2024,C1,2024,Formula,broadcast sowing,centrifugal_spreader,220.0,4.73,9.0,1040.6000000000001,42.57000000000001
C2_2022,C2,2022,Ronaldo,broadcast sowing,airplane_sprayer,200.0,34.06,5.46,6812.0,185.9676
C2_2022,C2,2022,Gládio,broadcast sowing,airplane_sprayer,200.0,75.37,7.7,15074.0,580.349
