dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C1_2022,C1,2022,ha,Acidification,Pt,154.9520905923,,0.01198496,1 kg seed,,seeds_singlescore_1.json,1.8570946076650918
C1_2022,C1,2022,ha,Climate change,Pt,154.9520905923,,6016.38576,1 kg seed,,seeds_singlescore_1.json,932251.5513217438
C1_2022,C1,2022,ha,Climate change - Biogenic,Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,Climate change - Fossil,Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,Climate change - Land use and LU change,Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater",Pt,154.9520905923,,22431.676919999998,1 kg seed,,seeds_singlescore_1.json,3475835.234245045
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - inorganics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - metals",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Ecotoxicity, freshwater - organics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Eutrophication, freshwater",Pt,154.9520905923,,8.7756e-06,1 kg seed,,seeds_singlescore_1.json,0.001359797566201788
C1_2022,C1,2022,ha,"Eutrophication, marine",Pt,154.9520905923,,0.002909536,1 kg seed,,seeds_singlescore_1.json,0.4508386858535582
C1_2022,C1,2022,ha,"Eutrophication, terrestrial",Pt,154.9520905923,,0.10404252,1 kg seed,,seeds_singlescore_1.json,16.121605984491186
C1_2022,C1,2022,ha,"Human toxicity, cancer",Pt,154.9520905923,,3.8458000000000003e-16,1 kg seed,,seeds_singlescore_1.json,5.959147499998674e-14
C1_2022,C1,2022,ha,"Human toxicity, cancer - inorganics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Human toxicity, cancer - metals",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Human toxicity, cancer - organics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Human toxicity, non-cancer",Pt,154.9520905923,,4.3437799999999997e-13,1 kg seed,,seeds_singlescore_1.json,6.730777920730209e-11
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - inorganics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - metals",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - organics",Pt,154.9520905923,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2022,C1,2022,ha,Ionising radiation,Pt,154.9520905923,,5.252001,1 kg seed,,seeds_singlescore_1.json,813.8085347428503
C1_2022,C1,2022,ha,Land use,Pt,154.9520905923,,16893889.2,1 kg seed,,seeds_singlescore_1.json,2617743449.7746787
C1_2022,C1,2022,ha,Ozone depletion,Pt,154.9520905923,,7.7848e-11,1 kg seed,,seeds_singlescore_1.json,1.2062710348429372e-08
C1_2022,C1,2022,ha,Particulate matter,Pt,154.9520905923,,4.0509e-12,1 kg seed,,seeds_singlescore_1.json,6.276954237803481e-10
C1_2022,C1,2022,ha,Photochemical ozone formation,Pt,154.9520905923,,0.0065572,1 kg seed,,seeds_singlescore_1.json,1.0160518484318297
C1_2022,C1,2022,ha,"Resource use, fossils",Pt,154.9520905923,,26916.417690000002,1 kg seed,,seeds_singlescore_1.json,4170755.1923210667
C1_2022,C1,2022,ha,"Resource use, minerals and metals",Pt,154.9520905923,,1.8431999999999996e-08,1 kg seed,,seeds_singlescore_1.json,2.8560769337972733e-06
C1_2022,C1,2022,ha,Total,Pt,154.9520905923,,16980974.878934015,1 kg seed,,seeds_singlescore_1.json,2631237557.7861543
C1_2022,C1,2022,ha,Water use,Pt,154.9520905923,,31715.821060000002,1 kg seed,,seeds_singlescore_1.json,4914432.778098297
C1_2023,C1,2023,ha,Acidification,Pt,206.5853658537,,0.01198496,1 kg seed,,seeds_singlescore_1.json,2.4759173463419604
C1_2023,C1,2023,ha,Climate change,Pt,206.5853658537,,6016.38576,1 kg seed,,seeds_singlescore_1.json,1242897.253346591
C1_2023,C1,2023,ha,Climate change - Biogenic,Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,Climate change - Fossil,Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,Climate change - Land use and LU change,Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater",Pt,206.5853658537,,22431.676919999998,1 kg seed,,seeds_singlescore_1.json,4634056.183230198
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - inorganics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - metals",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - organics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Eutrophication, freshwater",Pt,206.5853658537,,8.7756e-06,1 kg seed,,seeds_singlescore_1.json,0.0018129105365857297
C1_2023,C1,2023,ha,"Eutrophication, marine",Pt,206.5853658537,,0.002909536,1 kg seed,,seeds_singlescore_1.json,0.6010675590245109
