dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
C1_2022,C1,2022,tonne,Acidification,mol H+ eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Climate change,kg CO2 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Climate change - Biogenic,kg CO2 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Climate change - Fossil,kg CO2 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Climate change - Land use and LU change,kg CO2 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater",CTUe,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - metals",CTUe,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - organics",CTUe,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Eutrophication, freshwater",kg P eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Eutrophication, marine",kg N eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Eutrophication, terrestrial",mol N eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - inorganics",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - metals",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - organics",CTUh,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Ionising radiation,kBq U-235 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Land use,Pt,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Ozone depletion,kg CFC11 eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Particulate matter,disease inc.,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Photochemical ozone formation,kg NMVOC eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Resource use, fossils",MJ,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,"Resource use, minerals and metals",kg Sb eq,,2554.944,0.0,1 m3 water,18_chara,,0.0
C1_2022,C1,2022,tonne,Water use,m3 depriv.,,2554.944,49.6,1 m3 water,18_chara,,126725.2224
C1_2023,C1,2023,tonne,Acidification,mol H+ eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Climate change,kg CO2 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Climate change - Biogenic,kg CO2 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Climate change - Fossil,kg CO2 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Climate change - Land use and LU change,kg CO2 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater",CTUe,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - metals",CTUe,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - organics",CTUe,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Eutrophication, freshwater",kg P eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Eutrophication, marine",kg N eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Eutrophication, terrestrial",mol N eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - inorganics",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
