dmu_id,farmer_id,year,area_ha,productivity_t_ha,water_m3_ha,water_m3_tonne
C1_2022,C1,2022,45.92,4.43,11318.4,2554.944
C1_2023,C1,2023,45.51,4.54,11318.4,2493.04
C1_2024,C1,2024,45.51,4.78,11318.4,2367.866
C2_2022,C2,2022,111.38,6.91,11318.4,1637.974
C2_2023,C2,2023,115.21,8.71,11318.4,1299.472
C2_2024,C2,2024,120.72,7.39,11318.4,1531.583
C3_2022,C3,2022,114.54,4.77,11318.4,2372.83
C3_2023,C3,2023,112.23,5.94,11318.4,1905.455
C3_2024,C3,2024,112.23,5.77,11318.4,1961.594
C4_2022,C4,2022,25.21,3.62,11318.4,3126.63
C4_2023,C4,2023,23.84,4.5,11318.4,2515.2
C4_2024,C4,2024,23.87,8.28,11318.4,1367.617
C5_2022,C5,2022,35.75,5.99,11318.4,1889.549
C5_2023,C5,2023,35.44,6.23,11318.4,1816.758
C5_2024,C5,2024,35.44,8.2,11318.4,1380.293
C6_2022,C6,2022,73.11,2.15,11318.4,5264.372
C6_2023,C6,2023,71.09,2.88,11318.4,3930.0
C6_2024,C6,2024,54.22,7.35,11318.4,1539.918
C7_2023,C7,2023,37.33,6.65,11318.4,1702.015
C7_2024,C7,2024,37.35,4.99,11318.4,2268.216
C8_2022,C8,2022,58.32,5.56,11318.4,2035.683
C8_2023,C8,2023,58.04,5.73,11318.4,1975.288
C8_2024,C8,2024,59.12,3.95,11318.4,2865.418
D1_2022,D1,2022,12.25,1.36,11318.4,8322.353
D1_2023,D1,2023,17.99,4.9,11318.4,2309.878
D1_2024,D1,2024,24.8,5.68,11318.4,1992.676
D2_2022,D2,2022,18.21,1.23,11318.4,9201.951
D2_2023,D2,2023,18.22,4.84,11318.4,2338.512
D2_2024,D2,2024,18.22,6.77,11318.4,1671.846
NT1_2023,NT1,2023,14.92,6.49,11318.4,1743.975
NT1_2024,NT1,2024,37.9,7.11,11318.4,1591.899
NT2_2022,NT2,2022,20.42,4.1,11318.4,2760.585
NT2_2023,NT2,2023,20.19,7.31,11318.4,1549.192
NT2_2024,NT2,2024,20.19,4.77,11318.4,2374.822
