dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
C1_2022,C1,2022,tonne,Acidification,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Climate change,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Climate change - Biogenic,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Climate change - Fossil,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Climate change - Land use and LU change,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - inorganics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - metals",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Ecotoxicity, freshwater - organics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Eutrophication, freshwater",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Eutrophication, marine",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Eutrophication, terrestrial",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - inorganics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - inorganics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - metals",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - organics",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Ionising radiation,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Land use,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Ozone depletion,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Particulate matter,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Photochemical ozone formation,Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Resource use, fossils",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,"Resource use, minerals and metals",Pt,,2554.944,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2022,C1,2022,tonne,Total,Pt,,2554.944,48558.4,1 m3 water,,singlescore_18.json,124063992.7296
C1_2022,C1,2022,tonne,Water use,Pt,,2554.944,48558.4,1 m3 water,,singlescore_18.json,124063992.7296
C1_2023,C1,2023,tonne,Acidification,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Climate change,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Climate change - Biogenic,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Climate change - Fossil,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Climate change - Land use and LU change,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - inorganics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - metals",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - organics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Eutrophication, freshwater",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Eutrophication, marine",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Eutrophication, terrestrial",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - inorganics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - metals",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - organics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - inorganics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - metals",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - organics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Ionising radiation,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Land use,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
