impact_category,cluster,basis,total_mean,relative_to_cluster2,percent_diff_vs_cluster2
Acidification,1,tonne,2.6391447379999997,1.0481836529907158,4.818365299071581
Acidification,2,tonne,2.5178266522950397,1.0,0.0
Acidification,3,tonne,4.534063567032325,1.8007846421434346,80.07846421434346
Climate change,1,tonne,3465.095388608554,1.119059603984813,11.905960398481309
Climate change,2,tonne,3096.4350569619696,1.0,0.0
Climate change,3,tonne,5503.088675899817,1.7772336815289473,77.72336815289474
"Ecotoxicity, freshwater",1,tonne,24722.579313899998,0.4494066353886484,-55.05933646113517
"Ecotoxicity, freshwater",2,tonne,55011.60278267771,1.0,0.0
"Ecotoxicity, freshwater",3,tonne,193577.4032789582,3.5188468157105337,251.88468157105336
"Eutrophication, freshwater",1,tonne,0.0458192774,1.084451550597494,8.44515505974941
"Eutrophication, freshwater",2,tonne,0.0422511059850993,1.0,0.0
"Eutrophication, freshwater",3,tonne,0.08244531616332751,1.9513173499506382,95.13173499506382
"Eutrophication, marine",1,tonne,0.5468579199999999,0.9659041553115384,-3.4095844688461607
"Eutrophication, marine",2,tonne,0.5661616807348953,1.0,0.0
"Eutrophication, marine",3,tonne,0.9852227804717562,1.740179199681806,74.01791996818059
"Eutrophication, terrestrial",1,tonne,10.3085003,1.0257328077505679,2.5732807750567854
"Eutrophication, terrestrial",2,tonne,10.049888452536234,1.0,0.0
"Eutrophication, terrestrial",3,tonne,17.88427431232452,1.7795495339862373,77.95495339862373
"Human toxicity, cancer",1,tonne,1.5718012000000002e-07,1.1220498569842283,12.204985698422831
"Human toxicity, cancer",2,tonne,1.4008300880894757e-07,1.0,0.0
"Human toxicity, cancer",3,tonne,2.815568484264161e-07,2.0099286188977983,100.99286188977983
"Human toxicity, non-cancer",1,tonne,5.4046212e-06,0.6562214884733145,-34.37785115266855
"Human toxicity, non-cancer",2,tonne,8.235971078261605e-06,1.0,0.0
"Human toxicity, non-cancer",3,tonne,2.247767139098471e-05,2.729207178776197,172.92071787761972
Ionising radiation,1,tonne,14.830228860000002,1.076541444817497,7.654144481749703
Ionising radiation,2,tonne,13.775808568627962,1.0,0.0
Ionising radiation,3,tonne,27.830351157469032,2.020233586930634,102.0233586930634
Land use,1,tonne,5665.697120456,0.9793663271710163,-2.063367282898365
Land use,2,tonne,5785.064243347892,1.0,0.0
Land use,3,tonne,10356.516528302565,1.7902163386018188,79.02163386018188
Ozone depletion,1,tonne,3.1669378199999995e-05,1.0346725456020824,3.467254560208244
Ozone depletion,2,tonne,3.060811687196299e-05,1.0,0.0
Ozone depletion,3,tonne,5.6418225774700965e-05,1.8432439346302945,84.32439346302945
Particulate matter,1,tonne,1.7740196099999997e-05,1.1003151307500962,10.031513075009624
Particulate matter,2,tonne,1.6122832090754147e-05,1.0,0.0
Particulate matter,3,tonne,2.9983338232456532e-05,1.8596818514069173,85.96818514069173
Photochemical ozone formation,1,tonne,1.352324428,0.9637967174481775,-3.620328255182248
Photochemical ozone formation,2,tonne,1.4031220521071273,1.0,0.0
Photochemical ozone formation,3,tonne,2.4476949682442424,1.7444633305908321,74.44633305908322
"Resource use, fossils",1,tonne,3145.4961630640005,1.072554935778828,7.255493577882799
"Resource use, fossils",2,tonne,2932.7133353592944,1.0,0.0
"Resource use, fossils",3,tonne,5536.339330166369,1.8877874163204218,88.77874163204218
"Resource use, minerals and metals",1,tonne,0.0026805416399999,1.1033235304592401,10.332353045924014
"Resource use, minerals and metals",2,tonne,0.0024295155192459,1.0,0.0
"Resource use, minerals and metals",3,tonne,0.004481431994118511,1.844578459622068,84.4578459622068
Water use,1,tonne,100401.740767646,1.1232446388598492,12.324463885984915
Water use,2,tonne,89385.46180782033,1.0,0.0
Water use,3,tonne,157966.32344196652,1.7672485015694805,76.72485015694805
