dmu_id,farmer_id,year,area_ha,production_t,yield_kg_ha,crop_protection_kg_ai_ha,n_kg_ha,climate_change_kg_co2_eq_ha,crop_protection_climate_change_kg_co2_eq_ha,fertilisation_climate_change_kg_co2_eq_ha,field_emissions_climate_change_kg_co2_eq_ha,machines_climate_change_kg_co2_eq_ha,sowing_climate_change_kg_co2_eq_ha,water_climate_change_kg_co2_eq_ha,dea_theta_climate_adjusted_vrs,dea_status_climate_adjusted_vrs,efficient_climate_adjusted_vrs
C1_2022,C1,2022,45.92,203.6418,4434.7081881533095,0.8693554007,124.4,19652.05915057044,9.30157630705564,552.4234508000001,18025.086472,538.551859756187,526.6957917071999,0.0,0.9744859922209684,optimal,False
C2_2022,C2,2022,111.38,777.8801,6984.019572634225,1.4846435626,101.4,19682.98188397502,20.226126510593723,551.4657348000001,17939.083722,489.41320165198493,682.7930990124421,0.0,0.9779552892749844,optimal,False
C3_2022,C3,2022,114.54,496.2327,4332.396542692509,1.4389907456,95.2,19560.190827169183,19.675608262737917,414.3348264,17943.066372,537.2873005064421,645.82672,0.0,0.9777931656996642,optimal,False
C4_2022,C4,2022,25.21,91.2602,3619.9999999999995,2.7279571599,102.79,19873.256576780805,37.29990383874467,606.78616678,17972.822681266163,508.5484648958959,747.79936,0.0,0.961776136908315,optimal,False
C5_2022,C5,2022,35.75,214.045,5987.272727272727,0.7027972028,80.24,19268.44533590387,9.60948671332496,358.17076768,17849.941298573427,508.890139860179,541.833643076942,0.0,0.9972709792846473,optimal,False
C6_2022,C6,2022,73.11,157.1865,2150.0,1.0314006292,118.0,19834.82166817587,13.98577415901957,647.943124,17984.855672,508.21949801685395,679.8176,0.0,0.9641513825118537,optimal,False
C8_2022,C8,2022,58.32,323.9088,5553.991769547324,3.1059259259000003,119.0,19695.63921475559,42.057500770015885,517.918533,18018.477522,451.938909465652,665.2467495199206,0.0,0.9739518521794145,optimal,False
D1_2022,D1,2022,12.25,16.66,1360.0,3.1519591836000003,79.44,19293.599596236527,38.92586630363182,435.52776528,17905.554261795918,505.701142856978,407.89056,0.0,0.9906717428681571,optimal,False
D2_2022,D2,2022,18.21,22.3983,1230.0,2.4699999999999998,143.92,20272.254453547615,31.26947884,964.86571824,18077.761656467617,518.54,679.8176,0.0,0.9428464891263809,optimal,False
NT2_2022,NT2,2022,20.42,83.1094,4069.9999999999995,1.05,65.45,19113.623938204008,14.35686,568.5475169,17808.723611764937,263.119069539072,458.87688,0.0,1.0000000000000002,optimal,True
C1_2023,C1,2023,45.51,196.7616,4323.4805537244565,1.0421533728,129.0,19840.951457484025,13.993437569611492,569.693148,18042.287022,512.776011865492,702.2018380489214,0.0,0.9640199422505792,optimal,False
