dmu_id,farmer_id,year,area_ha,production_t,yield_kg_ha,crop_protection_kg_ai_ha,n_kg_ha,climate_change_without_ch4_kg_co2_eq_ha,crop_protection_non_ch4_climate_change_kg_co2_eq_ha,fertilisation_non_ch4_climate_change_kg_co2_eq_ha,field_emissions_non_ch4_climate_change_kg_co2_eq_ha,machines_non_ch4_climate_change_kg_co2_eq_ha,sowing_non_ch4_climate_change_kg_co2_eq_ha,water_non_ch4_climate_change_kg_co2_eq_ha,dea_theta_non_ch4_climate_adjusted_vrs,dea_status_non_ch4_climate_adjusted_vrs,efficient_non_ch4_climate_adjusted_vrs
C1_2022,C1,2022,45.92,203.6418,4434.7081881533095,0.8693554007,124.4,2062.7608785704424,9.30157630705564,552.4234508000001,435.7882,538.551859756187,526.6957917071999,0.0,0.7724713782605536,optimal,False
C2_2022,C2,2022,111.38,777.8801,6984.019572634225,1.4846435626,101.4,2093.683611975021,20.226126510593723,551.4657348000001,349.78545,489.41320165198493,682.7930990124421,0.0,0.792754913227496,optimal,False
C3_2022,C3,2022,114.54,496.2327,4332.396542692509,1.4389907456,95.2,1970.89255516918,19.675608262737917,414.3348264,353.76810000000006,537.2873005064421,645.82672,0.0,0.7796075105958274,optimal,False
C4_2022,C4,2022,25.21,91.2602,3619.9999999999995,2.7279571599,102.79,2283.9583047808046,37.29990383874467,606.78616678,383.5244092661642,508.5484648958959,747.79936,0.0,0.6674052074476468,optimal,False
C5_2022,C5,2022,35.75,214.045,5987.272727272727,0.7027972028,80.24,1679.1470639038725,9.60948671332496,358.17076768,260.6430265734266,508.890139860179,541.833643076942,0.0,0.9696470960721911,optimal,False
C6_2022,C6,2022,73.11,157.1865,2150.0,1.0314006292,118.0,2245.5233961758736,13.98577415901957,647.943124,395.5574,508.21949801685395,679.8176,0.0,0.705074297277417,optimal,False
C8_2022,C8,2022,58.32,323.9088,5553.991769547324,3.1059259259000003,119.0,2106.3409427555885,42.057500770015885,517.918533,429.17925,451.938909465652,665.2467495199206,0.0,0.7564331057365595,optimal,False
D1_2022,D1,2022,12.25,16.66,1360.0,3.1519591836000003,79.44,1704.3013242365282,38.92586630363182,435.52776528,316.25598979591837,505.701142856978,407.89056,0.0,0.8943991561391627,optimal,False
D2_2022,D2,2022,18.21,22.3983,1230.0,2.4699999999999998,143.92,2682.956181547618,31.26947884,964.86571824,488.463384467618,518.54,679.8176,0.0,0.5681515325102054,optimal,False
NT2_2022,NT2,2022,20.42,83.1094,4069.9999999999995,1.05,65.45,1524.3256662040083,14.35686,568.5475169,219.42533976493633,263.119069539072,458.87688,0.0,1.0,optimal,True
C1_2023,C1,2023,45.51,196.7616,4323.4805537244565,1.0421533728,129.0,2251.653185484025,13.993437569611492,569.693148,452.98875000000004,512.776011865492,702.2018380489214,0.0,0.7027375392034347,optimal,False
C2_2023,C2,2023,115.21,1003.1592,8707.223331308047,0.5864959639,78.37,1739.8776103215625,7.778837645078585,351.15026034000005,258.24432670775104,510.8683456287329,611.83584,0.0,1.0,optimal,True
C3_2023,C3,2023,112.23,639.8522,5701.25813062461,0.4528842556,109.8,1963.8157487567,6.049893170613777,495.19152845,394.7781499999999,512.184759868056,555.6114172680304,0.0,0.8385212516602519,optimal,False
C4_2023,C4,2023,23.84,107.3744,4503.959731543624,0.3889261745,146.48,2345.793281338386,4.871609079095894,635.3179973599999,518.35084,507.43523489929,679.8176,0.0,0.7100440325265743,optimal,False
