dmu_id,farmer_id,year,area_ha,production_t,yield_kg_ha,crop_protection_kg_ai_ha,n_kg_ha,soil_operation_intensity_ha_ha,dea_theta_vrs,dea_status_vrs,efficient_vrs,dea_theta_crs,dea_status_crs,efficient_crs
C1_2022,C1,2022,45.92,203.6418,4434.7081881533095,0.8693554007,124.4,5.0,0.5953523632517889,optimal,False,0.3682909908648149,optimal,False
C2_2022,C2,2022,111.38,777.8801,6984.019572634225,1.4846435626,101.4,4.0,0.7493688206975454,optimal,False,0.7148999259511178,optimal,False
C3_2022,C3,2022,114.54,496.2327,4332.396542692509,1.4389907456,95.2,5.0,0.6394430479232462,optimal,False,0.4364575984261902,optimal,False
C4_2022,C4,2022,25.21,91.2602,3619.9999999999995,2.7279571599,102.79,5.0,0.5822225550396886,optimal,False,0.3455504817827607,optimal,False
C5_2022,C5,2022,35.75,214.045,5987.272727272727,0.7027972028,80.24,5.0,0.8804736036408874,optimal,False,0.6770885516272829,optimal,False
C6_2022,C6,2022,73.11,157.1865,2150.0,1.0314006292,118.0,4.0,0.5956037880182162,optimal,False,0.19596020701252548,optimal,False
C8_2022,C8,2022,58.32,323.9088,5553.991769547324,3.1059259259000003,119.0,4.0,0.5801587477920211,optimal,False,0.5028945559367625,optimal,False
D1_2022,D1,2022,12.25,16.66,1360.0,3.1519591836000003,79.44,5.0,0.7055994191850443,optimal,False,0.1548141506975092,optimal,False
D2_2022,D2,2022,18.21,22.3983,1230.0,2.4699999999999998,143.92,5.0,0.4451250930325757,optimal,False,0.09141441178929853,optimal,False
NT2_2022,NT2,2022,20.42,83.1094,4069.9999999999995,1.05,65.45,2.0,0.9999999999999999,optimal,True,0.6836888140718836,optimal,False
C1_2023,C1,2023,45.51,196.7616,4323.4805537244565,1.0421533728,129.0,5.0,0.5555287285152907,optimal,False,0.3493860586900401,optimal,False
C2_2023,C2,2023,115.21,1003.1592,8707.223331308047,0.5864959639,78.37,5.0,1.0,optimal,True,1.0,optimal,True
C3_2023,C3,2023,112.23,639.8522,5701.25813062461,0.4528842556,109.8,5.0,0.7395293877672328,optimal,False,0.5771698618193808,optimal,False
C4_2023,C4,2023,23.84,107.3744,4503.959731543624,0.3889261745,146.48,5.0,0.5831876039402079,optimal,False,0.3809461530339217,optimal,False
C5_2023,C5,2023,35.44,217.4936,6136.952595936795,1.248510158,112.97,5.0,0.6084903321410084,optimal,False,0.547287095024492,optimal,False
C6_2023,C6,2023,71.09,204.7392,2880.0,2.2741707694,134.5,4.0,0.4901531728665204,optimal,False,0.2367105058729742,optimal,False
C7_2023,C7,2023,37.33,248.2616,6650.458076613983,2.56,112.23,5.0,0.6415207056543623,optimal,False,0.5959295460812228,optimal,False
C8_2023,C8,2023,58.04,334.3764,5761.137146795313,3.0149000689000003,76.8,5.0,0.7864084674886659,optimal,False,0.6751762495877572,optimal,False
D1_2023,D1,2023,17.99,88.151,4900.0,1.21,47.0,5.0,1.0,optimal,True,0.9383576199686974,optimal,False
D2_2023,D2,2023,18.22,88.1848,4840.0,1.3599999999999999,81.8,5.0,0.7119023311078957,optimal,False,0.5404398256010039,optimal,False
NT1_2023,NT1,2023,14.92,96.8308,6490.0,0.12,89.6,0.0,1.0,optimal,True,1.0,optimal,True
NT2_2023,NT2,2023,20.19,147.5889,7310.0,2.88,129.5,1.0,0.9999999999999996,optimal,True,0.7320096323759253,optimal,False
C1_2024,C1,2024,45.51,227.7032,5003.366293122391,1.3489650626,129.0,8.0,0.5188717756498771,optimal,False,0.3525261081874864,optimal,False
C2_2024,C2,2024,120.72,892.1208,7390.000000000001,0.3735487078,130.51,5.0,0.8281565891339701,optimal,False,0.6903856006461068,optimal,False
C3_2024,C3,2024,112.23,723.4214,6445.882562594671,0.4984941637,114.4,5.0,0.7096316240077994,optimal,False,0.6162748101523602,optimal,False
C4_2024,C4,2024,23.87,197.4649,8272.513615416841,0.7220276498,116.0,6.0,0.6929591624454142,optimal,False,0.6911795937064871,optimal,False
C5_2024,C5,2024,35.44,290.5825,8199.280474040632,1.9881376975,93.58,6.0,0.8038821489614109,optimal,False,0.7886110620632335,optimal,False
C6_2024,C6,2024,54.22,393.095,7250.000000000001,1.4342641092,127.6,4.0,0.6340118124064739,optimal,False,0.621412286074317,optimal,False
C7_2024,C7,2024,37.35,157.786,4224.524765729585,1.7874966533,140.41,10.0,0.44842310253401313,optimal,False,0.27080082559884405,optimal,False
C8_2024,C8,2024,59.12,233.6194,3951.613667117727,0.7515764546999999,136.0,5.0,0.5701632141961468,optimal,False,0.3067656443881777,optimal,False
D1_2024,D1,2024,24.8,137.368,5539.032258064516,1.3285967742,136.0,5.0,0.5017422954810058,optimal,False,0.4299977029817885,optimal,False
D2_2024,D2,2024,18.22,123.3494,6770.000000000001,1.22,106.0,5.0,0.678285924792567,optimal,False,0.632205218827292,optimal,False
NT1_2024,NT1,2024,37.9,269.469,7110.0,1.35,302.08,0.0,1.0,optimal,True,0.3249458097202998,optimal,False
NT2_2024,NT2,2024,20.19,96.3063,4770.0,0.88,91.0,1.0,0.8692699490662132,optimal,False,0.6627268445437241,optimal,False
