cluster,n_kg_ha,crop_protection_kg_ai_ha,soil_operation_intensity_ha_ha,yield_kg_ha,PC1,PC2,variant
1,110.54947368421053,1.8633393789894737,4.894736842105263,4322.879434819006,0.7437770527952906,0.2662154007666169,uncapped
2,106.99642857142858,0.8643378318142857,4.357142857142857,6686.311624383727,-0.7705362976649196,-0.6337688258149045,uncapped
3,302.08,1.35,0.0,7110.0,-3.3442558358016474,3.814670946842928,uncapped
1,111.6134,2.279317740131,4.7700000000000005,3776.2508301378716,-1.3669437454476285,0.32547925932803307,winsor_p90
2,123.90515384615385,0.8984078679692308,5.0307692307692315,5824.82827663838,0.26484939736253066,-0.9393267556658856,winsor_p90
3,90.63881818181818,1.2333146886154547,3.063636363636364,6306.163282295966,0.9296722989784911,0.8142232027614718,winsor_p90
1,109.09777777777778,2.4012152900777775,4.666666666666667,3726.4426150721256,-1.3570266213082092,0.5403710226767404,winsor_p95
2,91.15963636363637,1.2374613115272728,3.090909090909091,6306.163282295966,0.9333479726439097,0.7991253599157598,winsor_p95
3,125.4932857142857,0.9619142097785714,5.242857142857142,5710.520883002037,0.1390294209064917,-0.9752655830831444,winsor_p95
1,113.83714285714284,2.6453169694227148,5.3342857142857145,3518.521954581746,1.6793857381074118,0.5726605048270839,winsor_p99
2,107.75115384615384,1.1142987725076923,4.461538461538462,5812.054550802349,-0.3507818961050656,-0.3046068094470889,winsor_p99
3,250.73200000000026,1.35,0.0,7110.0,-2.635370868020182,3.9111535118347023,winsor_p99
