feature,pc,loading,variant
n_kg_ha,1,-0.3483542862416654,uncapped
crop_protection_kg_ai_ha,1,0.5428333325835291,uncapped
soil_operation_intensity_ha_ha,1,0.4682134250550552,uncapped
yield_kg_ha,1,-0.6039515319059414,uncapped
n_kg_ha,2,0.6512858549312323,uncapped
crop_protection_kg_ai_ha,2,0.4735844597516873,uncapped
soil_operation_intensity_ha_ha,2,-0.4917603205398362,uncapped
yield_kg_ha,2,-0.3312344815848036,uncapped
n_kg_ha,3,0.673840703389012,uncapped
crop_protection_kg_ai_ha,3,-0.1566853817335695,uncapped
soil_operation_intensity_ha_ha,3,0.7214565237901335,uncapped
yield_kg_ha,3,0.029814122289004503,uncapped
n_kg_ha,4,-0.020364991523563376,uncapped
crop_protection_kg_ai_ha,4,0.6756474107616842,uncapped
soil_operation_intensity_ha_ha,4,0.1358251082143067,uncapped
yield_kg_ha,4,0.7243185648800183,uncapped
n_kg_ha,1,-0.21740904568923045,winsor_p90
crop_protection_kg_ai_ha,1,-0.6185144955416777,winsor_p90
soil_operation_intensity_ha_ha,1,-0.351532508803988,winsor_p90
yield_kg_ha,1,0.668279897132404,winsor_p90
n_kg_ha,2,-0.8433944376592315,winsor_p90
crop_protection_kg_ai_ha,2,0.36849818018143415,winsor_p90
soil_operation_intensity_ha_ha,2,-0.36956917428502845,winsor_p90
yield_kg_ha,2,-0.12772446573277013,winsor_p90
n_kg_ha,3,0.47466491139330513,winsor_p90
crop_protection_kg_ai_ha,3,0.19320466856401253,winsor_p90
soil_operation_intensity_ha_ha,3,-0.851040909585905,winsor_p90
yield_kg_ha,3,-0.11443141241919055,winsor_p90
n_kg_ha,4,-0.12693443689539896,winsor_p90
crop_protection_kg_ai_ha,4,-0.6665739764293723,winsor_p90
soil_operation_intensity_ha_ha,4,-0.12479138946037692,winsor_p90
yield_kg_ha,4,-0.7238742237389938,winsor_p90
n_kg_ha,1,-0.22689358372923785,winsor_p95
crop_protection_kg_ai_ha,1,-0.6138803938675355,winsor_p95
soil_operation_intensity_ha_ha,1,-0.35227663519022906,winsor_p95
yield_kg_ha,1,0.6690077249080107,winsor_p95
n_kg_ha,2,-0.7775930349957514,winsor_p95
crop_protection_kg_ai_ha,2,0.4083510655639596,winsor_p95
soil_operation_intensity_ha_ha,2,-0.4597873208695348,winsor_p95
yield_kg_ha,2,-0.131126270237853,winsor_p95
n_kg_ha,3,0.5572282701411357,winsor_p95
crop_protection_kg_ai_ha,3,0.10090790138861444,winsor_p95
soil_operation_intensity_ha_ha,3,-0.8112434286670304,winsor_p95
yield_kg_ha,3,-0.14559653099378514,winsor_p95
n_kg_ha,4,-0.1826609661206169,winsor_p95
crop_protection_kg_ai_ha,4,-0.6679954077051452,winsor_p95
soil_operation_intensity_ha_ha,4,-0.07988048141584257,winsor_p95
yield_kg_ha,4,-0.7169631897311695,winsor_p95
n_kg_ha,1,-0.23380015568823304,winsor_p99
crop_protection_kg_ai_ha,1,0.5983122420432685,winsor_p99
soil_operation_intensity_ha_ha,1,0.4222211086561757,winsor_p99
yield_kg_ha,1,-0.6396008783815601,winsor_p99
n_kg_ha,2,0.724858345773794,winsor_p99
crop_protection_kg_ai_ha,2,0.36889011907726466,winsor_p99
soil_operation_intensity_ha_ha,2,-0.5191695638838993,winsor_p99
yield_kg_ha,2,-0.26260887750767503,winsor_p99
n_kg_ha,3,0.6467366680475245,winsor_p99
crop_protection_kg_ai_ha,3,-0.23922222824211203,winsor_p99
soil_operation_intensity_ha_ha,3,0.7240091280924559,winsor_p99
yield_kg_ha,3,0.017753595592608213,winsor_p99
n_kg_ha,4,0.040614627476097696,winsor_p99
crop_protection_kg_ai_ha,4,0.669862125054997,winsor_p99
soil_operation_intensity_ha_ha,4,0.16734121363415586,winsor_p99
yield_kg_ha,4,0.7222410287924864,winsor_p99
