variety,price_group,classification,confidence,notes
Caravela,carolino,Carolino,strong,"Portuguese Carolino variety; valued with Carolino paddy price."
Carnaroli,carolino,Longo A / risotto proxy,proxy,"Specialty Longo A/risotto type; no separate SIMA category in this tool, so valued with Carolino paddy price as a proxy."
Corimbo,agulha,Agulha,moderate,"Observed source classifies Corimbo as Agulha/Longo B; valued with Agulha paddy price."
Diva PV,carolino,Longo A proxy,moderate,"Longo A type; valued with Carolino paddy price as the closest SIMA category."
Elettra,carolino,other Japonica proxy,low,"No specific SIMA price category available in this tool; valued with Carolino paddy price as a conservative proxy."
Formula PV,agulha,Agulha,strong,"Provisia variety listed as Longo B Agulha; valued with Agulha paddy price."
Gládio,agulha,Agulha,strong,"Longo B Agulha variety; valued with Agulha paddy price."
Ibérico,carolino,unresolved proxy,low,"Variety price group not verified in this tool; valued with Carolino paddy price until confirmed."
JSendra,carolino,medium/Japonica proxy,proxy,"Medium/Japonica rice; no separate SIMA category in this tool, so valued with Carolino paddy price as a proxy."
Leonardo,carolino,Longo A,strong,"Longo A variety; valued with Carolino paddy price as the closest SIMA category."
Luna CL,carolino,Carolino,strong,"Carolino/Longo A type; valued with Carolino paddy price."
PVL136IT,agulha,Agulha,strong,"Provisia variety listed as Longo B Agulha; valued with Agulha paddy price."
Ronaldo,carolino,Carolino,strong,"Carolino/Longo A variety; valued with Carolino paddy price."
Selénio,carolino,redondo proxy,proxy,"Round/specialty rice; no separate SIMA category in this tool, so valued with Carolino paddy price as a proxy."
Sintra,carolino,unresolved proxy,low,"Variety price group not verified in this tool; valued with Carolino paddy price until confirmed."
Sprint,agulha,Agulha,moderate,"Observed Portuguese rice product source links Sprint to Agulha; valued with Agulha paddy price."
Telemaco,carolino,Longo A,strong,"Longo A/Arborio-type variety; valued with Carolino paddy price as the closest SIMA category."
Velox,carolino,Longo A,moderate,"Longo A type; valued with Carolino paddy price as the closest SIMA category."
