dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,active_substance,product,dose_kg_ha,dose_unit,dose_kg/t,dose_units,stage,Digitaria sanguinalis,Cyperus esculentus,Pyricularia,Wild Rice,Gramineae,Broadleaves,General Weeds,Weevil,Aphids,Rice Worms,Spodoptera frugiperda,Heteranthera,repetitions,covered_area,area_per_tonne
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,25.0,crop_protection,fungicide,sprayer,Chlorothalonil,Splash,0.59,kg/ha,0.13,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Corimbo,1.5,3.48,"2,022.00",5.0,25.0,crop_protection,fungicide,sprayer,Chlorothalonil,Splash,0.59,kg/ha,0.17,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.29
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,25.0,crop_protection,fungicide,sprayer,Chlorothalonil,Splash,0.59,kg/ha,0.13,kg/t,Tillering,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,Leonardo,1.6,3.16,"2,022.00",5.0,25.0,crop_protection,fungicide,sprayer,Chlorothalonil,Splash,0.59,kg/ha,0.19,kg/t,Tillering,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.32
C1_2022,JSendra,4.3,5.18,"2,022.00",5.0,25.0,crop_protection,fungicide,sprayer,Chlorothalonil,Splash,0.59,kg/ha,0.11,kg/t,Tillering,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.19
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2 leaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Profoxydim,Profistar,0.15,kg/ha,0.03,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Bispyribac-sodium,Nominee,0.03,kg/ha,0.01,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Azimsulfuron,Gulliver,0.04,kg/ha,0.01,kg/t,2 leaves,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Corimbo,1.5,3.48,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2 leaves,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.29
C1_2022,Corimbo,1.5,3.48,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Profoxydim,Profistar,0.15,kg/ha,0.04,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.29
C1_2022,Corimbo,1.5,3.48,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Bispyribac-sodium,Nominee,0.03,kg/ha,0.01,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.29
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2 leaves,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Profoxydim,Profistar,0.15,kg/ha,0.03,kg/t,2 leaves,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Bispyribac-sodium,Nominee,0.03,kg/ha,0.01,kg/t,2 leaves,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Azimsulfuron,Gulliver,0.04,kg/ha,0.01,kg/t,2 leaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,Leonardo,1.6,3.16,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.32
C1_2022,Leonardo,1.6,3.16,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Profoxydim,Profistar,0.15,kg/ha,0.05,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.32
C1_2022,Leonardo,1.6,3.16,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Bispyribac-sodium,Nominee,0.03,kg/ha,0.01,kg/t,2 leaves,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.32
C1_2022,JSendra,4.3,5.18,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2 leaves,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.19
C1_2022,JSendra,4.3,5.18,"2,022.00",5.0,25.0,crop_protection,herbicide,sprayer,Profoxydim,Profistar,0.15,kg/ha,0.03,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.19
C1_2022,PVL136IT,4.74,4.29,"2,022.00",6.0,6.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.06,kg/t,2 leaves,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.74,0.23
C1_2022,Ronaldo,15.48,4.49,"2,022.00",6.0,30.0,crop_protection,pesticide,sprayer,Flonicamid,Teppeki,0.12,kg/ha,0.03,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.48,0.22
C1_2022,Sprint,18.3,4.44,"2,022.00",6.0,30.0,crop_protection,pesticide,sprayer,Flonicamid,Teppeki,0.12,kg/ha,0.03,kg/t,Tillering,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,0.23
C1_2022,JSendra,4.3,5.18,"2,022.00",6.0,30.0,crop_protection,pesticide,sprayer,Flonicamid,Teppeki,0.12,kg/ha,0.02,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.19
C1_2023,Leonardo,28.4,4.37,"2,023.00",5.0,7.0,crop_protection,herbicide,sprayer,Benzobicyclon,Avanza,0.3,kg/ha,0.07,kg/t,Pre-emergence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,0.23
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.0,7.0,crop_protection,herbicide,sprayer,Benzobicyclon,Avanza,0.3,kg/ha,0.14,kg/t,Pre-emergence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01,0.46
C1_2023,PVL136IT,4.1,5.03,"2,023.00",5.0,7.0,crop_protection,herbicide,sprayer,Benzobicyclon,Avanza,0.3,kg/ha,0.06,kg/t,Pre-emergence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,0.2
C1_2023,Telemaco,9.0,5.9,"2,023.00",5.0,7.0,crop_protection,herbicide,sprayer,Benzobicyclon,Avanza,0.3,kg/ha,0.05,kg/t,Pre-emergence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.17
C1_2023,Leonardo,28.4,4.37,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.04,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,0.23
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.07,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01,0.46
C1_2023,Telemaco,9.0,5.9,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.03,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.17
C1_2023,Leonardo,28.4,4.37,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Profoxydim,Aura,0.15,kg/ha,0.03,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,0.23
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Profoxydim,Aura,0.15,kg/ha,0.07,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01,0.46
C1_2023,Telemaco,9.0,5.9,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Profoxydim,Aura,0.15,kg/ha,0.03,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.17
C1_2023,Leonardo,28.4,4.37,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,0.23
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01,0.46
C1_2023,Telemaco,9.0,5.9,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.17
C1_2023,Leonardo,28.4,4.37,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,Bispyribac-sodium,Nominee,0.03,kg/ha,0.01,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,0.23
C1_2023,Telemaco,9.0,5.9,"2,023.00",5.0,31.0,crop_protection,herbicide,sprayer,MCPA,Herbinexa,0.5,kg/ha,0.08,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.17
