dmu_id,variety,area_TOTAL,productivity_weighted,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,covered_area,area_tonne,n_density,p_density,k_density,so4_density,n_kg_ha_weight,p_kg_ha_weight,k_kg_ha_weight,so4_kg_ha_weight,n_kg_t,p_kg_t,k_kg_t,so4_kg_t,year,month,day
C1_2022,All,45.92,4.43,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,300.0,kg/ha,45.92,0.23,60.0,30.0,0.0,0.0,60.0,30.0,0.0,0.0,13.54,6.77,0.0,0.0,"2,022.00",4.0,25.0
C1_2022,All,45.92,4.43,fertilisation,topdressing,centrifugal_spreader,Urea 46%,140.0,kg/ha,45.92,0.23,64.4,0.0,0.0,0.0,64.4,0.0,0.0,0.0,14.54,0.0,0.0,0.0,"2,022.00",5.0,7.0
C1_2022,All,45.92,4.43,fertilisation,topdressing,centrifugal_spreader,Ammonium sulfate 21%,80.0,kg/ha,45.92,0.23,16.8,0.0,0.0,16.8,16.8,0.0,0.0,16.8,3.7923250564,0.0,0.0,3.79,"2,022.00",7.0,20.0
C1_2023,All,45.51,4.54,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,300.0,kg/ha,45.51,0.22,60.0,30.0,0.0,0.0,60.0,30.0,0.0,0.0,13.22,6.61,0.0,0.0,"2,023.00",5.0,15.0
C1_2023,All,45.51,4.54,fertilisation,topdressing,centrifugal_spreader,Urea 46%,150.0,kg/ha,45.51,0.22,69.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,"2,023.00",7.0,25.0
C1_2024,All,45.51,4.78,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,300.0,kg/ha,45.51,0.21,60.0,30.0,0.0,0.0,60.0,30.0,0.0,0.0,12.55,6.28,0.0,0.0,"2,024.00",5.0,15.0
C1_2024,All,45.51,4.78,fertilisation,topdressing,centrifugal_spreader,Urea 46%,150.0,kg/ha,45.51,0.21,69.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,14.44,0.0,0.0,0.0,"2,024.00",7.0,25.0
C2_2022,All,111.38,6.91,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,300.0,kg/ha,111.38,0.14,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,8.68,8.68,0.0,0.0,"2,022.00",5.0,10.0
C2_2022,All,111.38,6.91,fertilisation,topdressing,airplane_sprayer,Urea 46%,90.0,kg/ha,111.38,0.14,41.4,0.0,0.0,0.0,41.4,0.0,0.0,0.0,5.99,0.0,0.0,0.0,"2,022.00",6.0,25.0
C2_2023,All,115.21,8.71,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,200.0,kg/ha,115.21,0.11,40.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,4.59,2.3,0.0,0.0,"2,023.00",5.0,15.0
