dmu_id,Area,Productivity,Production,operation_category,operation,equipment,repetitions,total_area_worked,area_per_tonne,year,month,day
C1_2022,45.92,4.43,203.43,soil_operation,disk_harrow x3,disk_harrow,3,137.76,0.677,2022,4,6
C1_2022,45.92,4.43,203.43,soil_operation,fertiliser_integration,rotary_tiller,1,45.92,0.226,2022,4,28
C1_2022,45.92,4.43,203.43,soil_operation,levelling,laser_leveler,1,45.92,0.226,2022,4,28
C1_2022,45.92,4.43,203.43,harvest,colheita,combine_harvester,1,45.92,0.226,2022,10,11
C1_2022,45.92,4.43,203.43,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.92,0.226,2022,4,25
C1_2022,45.92,4.43,203.43,topdressing,adubação cobertura,centrifugal_spreader,1,45.92,0.226,2022,5,7
C1_2022,45.92,4.43,203.43,topdressing,adubação cobertura,centrifugal_spreader,1,45.92,0.226,2022,7,20
C1_2022,15.48,4.49,69.55,crop_protection,fungicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,fungicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,fungicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,fungicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,fungicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,15.48,4.49,69.55,crop_protection,herbicide,sprayer,1,15.48,0.223,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,1.50,3.48,5.22,crop_protection,herbicide,sprayer,1,1.50,0.287,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,18.30,4.44,81.22,crop_protection,herbicide,sprayer,1,18.30,0.225,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,1.60,3.16,5.06,crop_protection,herbicide,sprayer,1,1.60,0.316,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,herbicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,4.30,5.18,22.26,crop_protection,herbicide,sprayer,1,4.30,0.193,2022,5,25
C1_2022,4.74,4.29,20.35,crop_protection,herbicide,sprayer,1,4.74,0.233,2022,6,6
C1_2022,15.48,4.49,69.55,crop_protection,pesticide,sprayer,1,15.48,0.223,2022,6,30
C1_2022,18.30,4.44,81.22,crop_protection,pesticide,sprayer,1,18.30,0.225,2022,6,30
C1_2022,4.30,5.18,22.26,crop_protection,pesticide,sprayer,1,4.30,0.193,2022,6,30
C1_2022,15.48,4.49,69.55,sowing,sementeira,centrifugal_spreader,1,15.48,0.223,2022,5,24
C1_2022,1.50,3.48,5.22,sowing,sementeira,centrifugal_spreader,1,1.50,0.287,2022,5,24
C1_2022,18.30,4.44,81.22,sowing,sementeira,centrifugal_spreader,1,18.30,0.225,2022,5,24
C1_2022,1.60,3.16,5.06,sowing,sementeira,centrifugal_spreader,1,1.60,0.316,2022,5,24
C1_2022,4.30,5.18,22.26,sowing,sementeira,centrifugal_spreader,1,4.30,0.193,2022,5,24
C1_2022,4.74,4.29,20.35,sowing,sementeira,centrifugal_spreader,1,4.74,0.233,2022,5,24
C1_2023,45.51,4.54,206.62,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.661,2023,5,1
C1_2023,45.51,4.54,206.62,soil_operation,fertiliser_integration,rotary_tiller,1,45.51,0.220,2023,5,15
C1_2023,45.51,4.54,206.62,soil_operation,levelling,laser_leveler,1,45.51,0.220,2023,8,5
C1_2023,45.51,4.54,206.62,harvest,colheita,combine_harvester,1,45.51,0.220,2023,10,12
C1_2023,45.51,4.54,206.62,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.51,0.220,2023,5,15
C1_2023,45.51,4.54,206.62,topdressing,adubação cobertura,centrifugal_spreader,1,45.51,0.220,2023,7,25
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,7
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,7
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,5,7
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,7
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,4.01,2.16,8.66,crop_protection,herbicide,sprayer,1,4.01,0.463,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,28.40,4.37,124.22,crop_protection,herbicide,sprayer,1,28.40,0.229,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,9.00,5.90,53.08,crop_protection,herbicide,sprayer,1,9.00,0.170,2023,5,31
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,6
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,6
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,20
C1_2023,4.10,5.03,20.63,crop_protection,herbicide,sprayer,1,4.10,0.199,2023,6,20
C1_2023,28.40,4.37,124.22,crop_protection,pesticide,sprayer,1,28.40,0.229,2023,8,4
C1_2023,28.40,4.00,113.60,sowing,sementeira,centrifugal_spreader,1,28.40,0.250,2023,5,25
C1_2023,4.01,2.16,8.66,sowing,sementeira,centrifugal_spreader,1,4.01,0.463,2023,5,25
C1_2023,4.10,5.00,20.50,sowing,sementeira,centrifugal_spreader,1,4.10,0.200,2023,5,25
C1_2023,9.00,6.00,54.00,sowing,sementeira,centrifugal_spreader,1,9.00,0.167,2023,5,25
C1_2024,45.51,4.78,217.54,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.628,2024,5,1
C1_2024,45.51,4.78,217.54,soil_operation,disk_harrow x3,disk_harrow,3,136.53,0.628,2024,5,12
C1_2024,45.51,4.78,217.54,soil_operation,fertiliser_integration,rotary_tiller,1,45.51,0.209,2024,5,15
C1_2024,45.51,4.78,217.54,soil_operation,levelling,laser_leveler,1,45.51,0.209,2024,8,5
C1_2024,45.51,4.78,217.54,harvest,colheita,combine_harvester,1,45.51,0.209,2024,10,30
C1_2024,45.51,4.78,217.54,basal_fertilisation,adubação fundo,centrifugal_spreader,1,45.51,0.209,2024,5,15
C1_2024,45.51,4.78,217.54,topdressing,adubação cobertura,centrifugal_spreader,1,45.51,0.209,2024,7,25
C1_2024,14.21,1.57,22.27,crop_protection,herbicide,sprayer,1,14.21,0.638,2024,5,31
C1_2024,8.42,1.46,12.29,crop_protection,herbicide,sprayer,1,8.42,0.685,2024,5,31
C1_2024,14.21,1.57,22.27,crop_protection,herbicide,sprayer,1,14.21,0.638,2024,5,31
C1_2024,8.42,1.46,12.29,crop_protection,herbicide,sprayer,1,8.42,0.685,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,5,31
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,5,31
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,5,31
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,5,31
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,5,31
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,6
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,6
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,6
