dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,dose_kg/t,dose_unit.1,repetitions,covered_area
C1_2022,Ronaldo,15.48,4.49,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.0,kg/ha,34.5,kg/t,1.0,15.48
C1_2022,Corimbo,1.5,3.48,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.0,kg/ha,44.5,kg/t,1.0,1.5
C1_2022,Sprint,18.3,4.44,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.0,kg/ha,34.93,kg/t,1.0,18.3
C1_2022,Leonardo,1.6,3.16,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,155.0,kg/ha,49.04,kg/t,1.0,1.6
C1_2022,JSendra,4.3,5.18,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,160.0,kg/ha,30.91,kg/t,1.0,4.3
C1_2022,PVL136IT,4.74,4.29,"2,022.00",5.0,24.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,150.0,kg/ha,34.93,kg/t,1.0,4.74
C1_2023,Leonardo,28.4,4.0,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,55.0,kg/t,1.0,28.4
C1_2023,Corimbo,4.01,2.16,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,170.0,kg/ha,78.7,kg/t,1.0,4.01
C1_2023,PVL136IT,4.1,5.0,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,120.0,kg/ha,24.0,kg/t,1.0,4.1
C1_2023,Telemaco,9.0,6.0,"2,023.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,220.0,kg/ha,36.67,kg/t,1.0,9.0
C1_2024,PVL136IT,6.31,6.0,"2,024.00",5.0,25.0,sowing,broadcast sowing,centrifugal_spreader,Seeds,190.0,kg/ha,31.67,kg/t,1.0,6.31
