operation_label,factor_group,single_score_file,impact_category,impact_unit,factor_per_unit,factor_unit
herbicide,herbicide,herbicide_single_score.json,Total,Pt,13176815.469822299,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Climate change,Pt,24201.564,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Ozone depletion,Pt,2.1756e-09,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Ionising radiation,Pt,837.086585,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Photochemical ozone formation,Pt,0.0482284,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Particulate matter,Pt,1.7361e-11,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Human toxicity, non-cancer",Pt,7.236719999999999e-12,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Human toxicity, cancer",Pt,5.3791999999999995e-15,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Acidification,Pt,0.17838808,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Eutrophication, freshwater",Pt,0.0001366398,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Eutrophication, marine",Pt,0.010586454,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Eutrophication, terrestrial",Pt,0.60443343,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Ecotoxicity, freshwater",Pt,1460507.7396,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Land use,Pt,10351420.44,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Water use,Pt,1884.394864,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Resource use, fossils",Pt,1337963.403,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Resource use, minerals and metals",Pt,2.9472e-07,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Climate change - Fossil,Pt,0,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Climate change - Biogenic,Pt,0,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,Climate change - Land use and LU change,Pt,0,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Human toxicity, non-cancer - organics",Pt,0,1 kg herbicide active substance
herbicide,herbicide,herbicide_single_score.json,"Human toxicity, non-cancer - inorganics",Pt,0,1 kg herbicide active substance
