equipment,single_score_file,impact_category,impact_unit,factor_per_ha_worked,factor_unit,source_factor_unit,m2_to_ha_multiplier
disk_harrow,disk_harrow_singlescore_11.json,Total,Pt,16844590.994255494,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Climate change,Pt,36196.5,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Ozone depletion,Pt,6.1716e-09,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Ionising radiation,Pt,267.96999999999997,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Photochemical ozone formation,Pt,0.48305999999999993,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Particulate matter,Pt,4.00589e-11,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, non-cancer",Pt,7.796079999999999e-12,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, cancer",Pt,9.265999999999999e-15,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Acidification,Pt,0.6948799999999999,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Eutrophication, freshwater",Pt,3.0076e-05,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Eutrophication, marine",Pt,0.0708948,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Eutrophication, terrestrial",Pt,6.09039,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Ecotoxicity, freshwater",Pt,53553.84,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Land use,Pt,15266940.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Water use,Pt,837.045,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Resource use, fossils",Pt,1486788.3,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Resource use, minerals and metals",Pt,6.095999999999998e-07,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
disk_harrow,disk_harrow_singlescore_11.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,Total,Pt,80616648.64674218,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,Climate change,Pt,219798.59999999998,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,Ozone depletion,Pt,3.1524e-08,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,Ionising radiation,Pt,1664.79,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,Photochemical ozone formation,Pt,2.5802,1 ha worked,1 m2 worked,10000
